loss_type: ndcg_5, lr: 0.001, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.7796, AP = 0.5688, RR = 0.7001, RBP_80 = 0.4866, RBP_90 = 0.4299, RBP_95 = 0.3313, 
loss_type: ndcg_5, lr: 0.01, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.7981, AP = 0.5884, RR = 0.7597, RBP_80 = 0.5154, RBP_90 = 0.4429, RBP_95 = 0.3362, 
loss_type: ndcg_5, lr: 0.1, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.9593, AP = 0.889, RR = 0.9793, RBP_80 = 0.8001, RBP_90 = 0.6205, RBP_95 = 0.4246, 
loss_type: ndcg_5, lr: 1.0, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.9667, AP = 0.907, RR = 0.9859, RBP_80 = 0.8131, RBP_90 = 0.6295, RBP_95 = 0.4294, 
loss_type: ndcg_5, lr: 3.0, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.967, AP = 0.9072, RR = 0.9856, RBP_80 = 0.8137, RBP_90 = 0.6296, RBP_95 = 0.4293, 
loss_type: ndcg_5, lr: 10.0, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.967, AP = 0.9068, RR = 0.9863, RBP_80 = 0.8138, RBP_90 = 0.6295, RBP_95 = 0.4291, 
loss_type: dcg, lr: 0.001, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.7797, AP = 0.5689, RR = 0.6994, RBP_80 = 0.4868, RBP_90 = 0.43, RBP_95 = 0.3313, 
loss_type: dcg, lr: 0.01, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.7981, AP = 0.5884, RR = 0.7597, RBP_80 = 0.5154, RBP_90 = 0.4429, RBP_95 = 0.3362, 
loss_type: dcg, lr: 0.1, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.9593, AP = 0.889, RR = 0.9794, RBP_80 = 0.8001, RBP_90 = 0.6205, RBP_95 = 0.4246, 
loss_type: dcg, lr: 1.0, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.9667, AP = 0.907, RR = 0.9859, RBP_80 = 0.8131, RBP_90 = 0.6295, RBP_95 = 0.4294, 
loss_type: dcg, lr: 3.0, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.9671, AP = 0.9075, RR = 0.9861, RBP_80 = 0.8135, RBP_90 = 0.6297, RBP_95 = 0.4295, 
loss_type: dcg, lr: 10.0, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.967, AP = 0.9073, RR = 0.9859, RBP_80 = 0.8139, RBP_90 = 0.6297, RBP_95 = 0.4293, 
loss_type: ap, lr: 0.001, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.7797, AP = 0.5691, RR = 0.698, RBP_80 = 0.4872, RBP_90 = 0.4303, RBP_95 = 0.3316, 
loss_type: ap, lr: 0.01, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.9502, AP = 0.8736, RR = 0.9652, RBP_80 = 0.7864, RBP_90 = 0.614, RBP_95 = 0.4223, 
loss_type: ap, lr: 0.1, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.9589, AP = 0.8891, RR = 0.9777, RBP_80 = 0.7998, RBP_90 = 0.6207, RBP_95 = 0.4249, 
loss_type: ap, lr: 1.0, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.9643, AP = 0.9014, RR = 0.9828, RBP_80 = 0.8095, RBP_90 = 0.6272, RBP_95 = 0.4282, 
loss_type: ap, lr: 3.0, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.9658, AP = 0.9049, RR = 0.9838, RBP_80 = 0.8121, RBP_90 = 0.6286, RBP_95 = 0.4288, 
loss_type: ap, lr: 10.0, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.9659, AP = 0.9048, RR = 0.9855, RBP_80 = 0.812, RBP_90 = 0.6288, RBP_95 = 0.429, 
loss_type: rr, lr: 0.001, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.7793, AP = 0.5685, RR = 0.6992, RBP_80 = 0.4864, RBP_90 = 0.4298, RBP_95 = 0.3313, 
loss_type: rr, lr: 0.01, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.7796, AP = 0.5687, RR = 0.7001, RBP_80 = 0.4868, RBP_90 = 0.4299, RBP_95 = 0.3313, 
loss_type: rr, lr: 0.1, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.787, AP = 0.5705, RR = 0.7463, RBP_80 = 0.4929, RBP_90 = 0.4283, RBP_95 = 0.3289, 
loss_type: rr, lr: 1.0, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.8494, AP = 0.6373, RR = 0.9179, RBP_80 = 0.6067, RBP_90 = 0.4789, RBP_95 = 0.347, 
loss_type: rr, lr: 3.0, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.8484, AP = 0.6372, RR = 0.9162, RBP_80 = 0.6052, RBP_90 = 0.4785, RBP_95 = 0.3467, 
loss_type: rr, lr: 10.0, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.8523, AP = 0.6411, RR = 0.9253, RBP_80 = 0.6118, RBP_90 = 0.4814, RBP_95 = 0.3476, 
loss_type: rbp_80, lr: 0.001, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.959, AP = 0.8922, RR = 0.9735, RBP_80 = 0.8009, RBP_90 = 0.6222, RBP_95 = 0.4258, 
loss_type: rbp_80, lr: 0.01, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.9661, AP = 0.9074, RR = 0.9831, RBP_80 = 0.813, RBP_90 = 0.6294, RBP_95 = 0.4291, 
loss_type: rbp_80, lr: 0.1, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.9677, AP = 0.9112, RR = 0.9833, RBP_80 = 0.8158, RBP_90 = 0.6311, RBP_95 = 0.4299, 
loss_type: rbp_80, lr: 1.0, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.9188, AP = 0.835, RR = 0.8668, RBP_80 = 0.7372, RBP_90 = 0.5925, RBP_95 = 0.4141, 
loss_type: rbp_80, lr: 3.0, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.9316, AP = 0.8361, RR = 0.9361, RBP_80 = 0.7535, RBP_90 = 0.5931, RBP_95 = 0.4115, 
loss_type: rbp_80, lr: 10.0, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.8894, AP = 0.7567, RR = 0.8857, RBP_80 = 0.6814, RBP_90 = 0.5501, RBP_95 = 0.3913, 
loss_type: rbp_90, lr: 0.001, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.959, AP = 0.8922, RR = 0.9749, RBP_80 = 0.8009, RBP_90 = 0.6228, RBP_95 = 0.4265, 
loss_type: rbp_90, lr: 0.01, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.9658, AP = 0.9072, RR = 0.982, RBP_80 = 0.8128, RBP_90 = 0.6295, RBP_95 = 0.4292, 
loss_type: rbp_90, lr: 0.1, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.9678, AP = 0.9113, RR = 0.9835, RBP_80 = 0.8158, RBP_90 = 0.6312, RBP_95 = 0.43, 
loss_type: rbp_90, lr: 1.0, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.9188, AP = 0.835, RR = 0.8668, RBP_80 = 0.7372, RBP_90 = 0.5925, RBP_95 = 0.4141, 
loss_type: rbp_90, lr: 3.0, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.9316, AP = 0.836, RR = 0.9361, RBP_80 = 0.7535, RBP_90 = 0.5931, RBP_95 = 0.4115, 
loss_type: rbp_90, lr: 10.0, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.8894, AP = 0.7567, RR = 0.8854, RBP_80 = 0.6814, RBP_90 = 0.5502, RBP_95 = 0.3913, 
loss_type: rbp_95, lr: 0.001, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.959, AP = 0.8922, RR = 0.9749, RBP_80 = 0.8009, RBP_90 = 0.6228, RBP_95 = 0.4265, 
loss_type: rbp_95, lr: 0.01, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.965, AP = 0.906, RR = 0.9799, RBP_80 = 0.8118, RBP_90 = 0.6293, RBP_95 = 0.4293, 
loss_type: rbp_95, lr: 0.1, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.9677, AP = 0.911, RR = 0.9836, RBP_80 = 0.8156, RBP_90 = 0.6312, RBP_95 = 0.4301, 
loss_type: rbp_95, lr: 1.0, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.9188, AP = 0.835, RR = 0.8668, RBP_80 = 0.7372, RBP_90 = 0.5925, RBP_95 = 0.4141, 
loss_type: rbp_95, lr: 3.0, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.9316, AP = 0.836, RR = 0.9361, RBP_80 = 0.7535, RBP_90 = 0.5931, RBP_95 = 0.4115, 
loss_type: rbp_95, lr: 10.0, frac: 1.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.8894, AP = 0.7567, RR = 0.8854, RBP_80 = 0.6814, RBP_90 = 0.5502, RBP_95 = 0.3913, 
loss_type: ndcg_5, lr: 0.001, frac: 2.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.6772, AP = 0.4018, RR = 0.5479, RBP_80 = 0.3307, RBP_90 = 0.3115, RBP_95 = 0.2604, 
loss_type: ndcg_5, lr: 0.01, frac: 2.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.7098, AP = 0.4346, RR = 0.6588, RBP_80 = 0.3815, RBP_90 = 0.3373, RBP_95 = 0.2715, 
loss_type: ndcg_5, lr: 0.1, frac: 2.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.935, AP = 0.8293, RR = 0.9648, RBP_80 = 0.7617, RBP_90 = 0.5906, RBP_95 = 0.407, 
loss_type: ndcg_5, lr: 1.0, frac: 2.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.951, AP = 0.8667, RR = 0.9772, RBP_80 = 0.7896, RBP_90 = 0.6099, RBP_95 = 0.4173, 
loss_type: ndcg_5, lr: 3.0, frac: 2.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.9507, AP = 0.8654, RR = 0.9775, RBP_80 = 0.7891, RBP_90 = 0.609, RBP_95 = 0.4165, 
loss_type: ndcg_5, lr: 10.0, frac: 2.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.9507, AP = 0.8662, RR = 0.9767, RBP_80 = 0.7895, RBP_90 = 0.6096, RBP_95 = 0.4171, 
loss_type: dcg, lr: 0.001, frac: 2.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.6772, AP = 0.4018, RR = 0.548, RBP_80 = 0.3307, RBP_90 = 0.3115, RBP_95 = 0.2604, 
loss_type: dcg, lr: 0.01, frac: 2.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.7098, AP = 0.4346, RR = 0.6588, RBP_80 = 0.3815, RBP_90 = 0.3373, RBP_95 = 0.2715, 
loss_type: dcg, lr: 0.1, frac: 2.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.935, AP = 0.8293, RR = 0.9648, RBP_80 = 0.7617, RBP_90 = 0.5906, RBP_95 = 0.407, 
loss_type: dcg, lr: 1.0, frac: 2.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.9511, AP = 0.8669, RR = 0.9775, RBP_80 = 0.7897, RBP_90 = 0.61, RBP_95 = 0.4174, 
loss_type: dcg, lr: 3.0, frac: 2.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.9509, AP = 0.8665, RR = 0.977, RBP_80 = 0.7895, RBP_90 = 0.6098, RBP_95 = 0.4173, 
loss_type: dcg, lr: 10.0, frac: 2.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.9509, AP = 0.8671, RR = 0.976, RBP_80 = 0.7898, RBP_90 = 0.6101, RBP_95 = 0.4175, 
loss_type: ap, lr: 0.001, frac: 2.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.6828, AP = 0.408, RR = 0.5668, RBP_80 = 0.3419, RBP_90 = 0.3185, RBP_95 = 0.2644, 
loss_type: ap, lr: 0.01, frac: 2.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.9301, AP = 0.8253, RR = 0.9527, RBP_80 = 0.7549, RBP_90 = 0.5892, RBP_95 = 0.4076, 
loss_type: ap, lr: 0.1, frac: 2.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.9358, AP = 0.8313, RR = 0.9651, RBP_80 = 0.7636, RBP_90 = 0.5918, RBP_95 = 0.4077, 
loss_type: ap, lr: 1.0, frac: 2.0, th: 0, emb_size: 32, fold: 0, NDCG = 0.949, AP = 0.8623, RR = 0.9757, RBP_80 = 0.7865, RBP_90 = 0.608, RBP_95 = 0.4162, 
