loss_type,lr,threshold,reg,fold,frac,emb_size,NDCG@5,NDCG,RR,AP,RBP_80,RBP_90,RBP_95
ap,0.5,0,0,0,5.0,32,0.8603,0.9153,0.9567,0.7855,0.7397,0.5699,0.3918
ap,1.0,0,0,0,5.0,32,0.8604,0.9159,0.9577,0.7863,0.7399,0.5701,0.3919
rbp,0.01,0,0,0,5.0,32,0.8690000000000001,0.9215,0.9599,0.8005,0.7494,0.5767,0.3948
rbp,0.1,0,0,0,5.0,32,0.8193,0.8994,0.9167,0.7625,0.7135,0.5555,0.3847
rr,0.1,0,0,0,2.0,32,0.4899,0.7336,0.7817,0.4472,0.4201,0.3471,0.2713
rr,0.3,0,0,0,2.0,32,0.5536,0.7557,0.8295,0.4713,0.4611,0.3671,0.2792
rr,1.0,0,0,0,2.0,32,0.5894,0.7683,0.8488,0.4877,0.4874,0.3817,0.2852
rr,0.5,0,0,0,5.0,32,0.39799999999999996,0.6317,0.7002,0.2897,0.3134,0.2372,0.1836
rr,0.3,0,0,0,5.0,32,0.3867,0.6271,0.6884,0.2855,0.3064,0.2335,0.1817
rr,1.0,0,0,0,5.0,32,0.4116,0.6383,0.7108,0.2977,0.3253,0.2454,0.1879
rr,0.1,0,0,0,5.0,32,0.385,0.6264,0.6932,0.2838,0.3038,0.2321,0.1815
dcg,0.001,0,0,0,1.0,32,0.4998,0.7797,0.6994,0.5689,0.4868,0.43,0.3313
ndcg_5,0.001,0,0,0,1.0,32,0.5,0.7796,0.7001,0.5688,0.4866,0.4299,0.3313
dcg,0.01,0,0,0,1.0,32,0.5491,0.7981,0.7597,0.5884,0.5154,0.4429,0.3362
ndcg_5,0.01,0,0,0,1.0,32,0.5491,0.7981,0.7597,0.5884,0.5154,0.4429,0.3362
ndcg_5,0.1,0,0,0,1.0,32,0.9198,0.9593,0.9793,0.889,0.8001,0.6205,0.4246
ndcg_5,1.0,0,0,0,1.0,32,0.9342,0.9667,0.9859,0.907,0.8131,0.6295,0.4294
dcg,3.0,0,0,0,1.0,32,0.9349,0.9671,0.9861,0.9075,0.8135,0.6297,0.4295
ndcg_5,3.0,0,0,0,1.0,32,0.9359,0.9670000000000001,0.9856,0.9072,0.8137,0.6296,0.4293
dcg,10.0,0,0,0,1.0,32,0.9354,0.9670000000000001,0.9859,0.9073,0.8139,0.6297,0.4293
ndcg_5,10.0,0,0,0,1.0,32,0.9356,0.9670000000000001,0.9863,0.9068,0.8138,0.6295,0.4291
ap,0.001,0,0,0,1.0,32,0.5002,0.7797,0.698,0.5691,0.4872,0.4303,0.3316
ap,0.01,0,0,0,1.0,32,0.8986,0.9502,0.9652,0.8736,0.7864,0.614,0.4223
ap,3.0,0,0,0,1.0,32,0.9333,0.9658,0.9838,0.9049,0.8121,0.6286,0.4288
ap,10.0,0,0,0,1.0,32,0.9331,0.9659,0.9855,0.9048,0.812,0.6288,0.429
rbp_80,0.001,0,0,0,1.0,32,0.9182,0.9590000000000001,0.9735,0.8922,0.8009,0.6222,0.4258
rbp_90,0.001,0,0,0,1.0,32,0.9174,0.9590000000000001,0.9749,0.8922,0.8009,0.6228,0.4265
rbp_95,0.001,0,0,0,1.0,32,0.9174,0.9590000000000001,0.9749,0.8922,0.8009,0.6228,0.4265
rbp_80,0.01,0,0,0,1.0,32,0.9343,0.9661,0.9831,0.9074,0.813,0.6294,0.4291
rbp_90,0.01,0,0,0,1.0,32,0.9335,0.9658,0.982,0.9072,0.8128,0.6295,0.4292
rbp_95,0.01,0,0,0,1.0,32,0.9319,0.965,0.9799,0.9059999999999999,0.8118,0.6293,0.4293
rbp_80,0.1,0,0,0,1.0,32,0.9374,0.9677,0.9833,0.9112,0.8158,0.6311,0.4299
rbp_90,0.1,0,0,0,1.0,32,0.9367,0.9678,0.9835,0.9113,0.8158,0.6312,0.43
rr,0.001,0,0,0,1.0,32,0.4995,0.7793,0.6992,0.5685,0.4864,0.4298,0.3313
rbp_95,0.1,0,0,0,1.0,32,0.9369,0.9677,0.9836,0.9109999999999999,0.8156,0.6312,0.4301
rbp_80,1.0,0,0,0,1.0,32,0.8121,0.9188,0.8668,0.835,0.7372,0.5925,0.4141
rbp_90,1.0,0,0,0,1.0,32,0.8121,0.9188,0.8668,0.835,0.7372,0.5925,0.4141
rbp_95,1.0,0,0,0,1.0,32,0.8121,0.9188,0.8668,0.835,0.7372,0.5925,0.4141
