loss_type: rbp_80, lr: 3.0, frac: 1.0, th: 0, emb_size: 32, fold: 1, NDCG = 0.9345, AP = 0.841, RR = 0.9429, RBP_80 = 0.7583, RBP_90 = 0.5964, RBP_95 = 0.4132, 
loss_type: rbp_80, lr: 10.0, frac: 1.0, th: 0, emb_size: 32, fold: 1, NDCG = 0.8891, AP = 0.7554, RR = 0.8871, RBP_80 = 0.6791, RBP_90 = 0.5487, RBP_95 = 0.3904, 
loss_type: rbp_90, lr: 0.001, frac: 1.0, th: 0, emb_size: 32, fold: 1, NDCG = 0.96, AP = 0.8941, RR = 0.977, RBP_80 = 0.8028, RBP_90 = 0.6238, RBP_95 = 0.4269, 
loss_type: rbp_90, lr: 0.01, frac: 1.0, th: 0, emb_size: 32, fold: 1, NDCG = 0.9668, AP = 0.9091, RR = 0.9827, RBP_80 = 0.8142, RBP_90 = 0.6302, RBP_95 = 0.4295, 
loss_type: rbp_90, lr: 0.1, frac: 1.0, th: 0, emb_size: 32, fold: 1, NDCG = 0.9685, AP = 0.9126, RR = 0.9849, RBP_80 = 0.817, RBP_90 = 0.6319, RBP_95 = 0.4303, 
loss_type: rbp_90, lr: 1.0, frac: 1.0, th: 0, emb_size: 32, fold: 1, NDCG = 0.9164, AP = 0.8314, RR = 0.8603, RBP_80 = 0.7355, RBP_90 = 0.5918, RBP_95 = 0.4137, 
loss_type: rbp_90, lr: 3.0, frac: 1.0, th: 0, emb_size: 32, fold: 1, NDCG = 0.9345, AP = 0.841, RR = 0.9429, RBP_80 = 0.7583, RBP_90 = 0.5964, RBP_95 = 0.4132, 
loss_type: rbp_90, lr: 10.0, frac: 1.0, th: 0, emb_size: 32, fold: 1, NDCG = 0.889, AP = 0.7553, RR = 0.8869, RBP_80 = 0.679, RBP_90 = 0.5487, RBP_95 = 0.3905, 
loss_type: rbp_95, lr: 0.001, frac: 1.0, th: 0, emb_size: 32, fold: 1, NDCG = 0.96, AP = 0.8941, RR = 0.977, RBP_80 = 0.8028, RBP_90 = 0.6238, RBP_95 = 0.4269, 
loss_type: rbp_95, lr: 0.01, frac: 1.0, th: 0, emb_size: 32, fold: 1, NDCG = 0.9665, AP = 0.9085, RR = 0.9826, RBP_80 = 0.8138, RBP_90 = 0.6301, RBP_95 = 0.4295, 
