metric_optim,lr,fold,NSR,dataset,metric_eval,y
rbp_95,0.001,0,5,citeulike,RBP_95,0.3504
rbp_95,0.001,0,5,citeulike,RR,0.9245
rr,0.001,0,5,citeulike,AP,0.2663
rr,0.001,0,5,citeulike,NDCG,0.5898
rr,0.001,0,5,citeulike,RBP_80,0.2386
rr,0.001,0,5,citeulike,RBP_90,0.206
rr,0.001,0,5,citeulike,RBP_95,0.1733
rr,0.001,0,5,citeulike,RR,0.5194
ap,0.001,1,1,citeulike,AP,0.836
ap,0.001,1,1,citeulike,NDCG,0.9337
ap,0.001,1,1,citeulike,RBP_80,0.7395
ap,0.001,1,1,citeulike,RBP_90,0.5704
ap,0.001,1,1,citeulike,RBP_95,0.3902
ap,0.001,1,1,citeulike,RR,0.9517
dcg,0.001,1,1,citeulike,AP,0.8542
dcg,0.001,1,1,citeulike,NDCG,0.9418
dcg,0.001,1,1,citeulike,RBP_80,0.7539
dcg,0.001,1,1,citeulike,RBP_90,0.5797
dcg,0.001,1,1,citeulike,RBP_95,0.3948
dcg,0.001,1,1,citeulike,RR,0.959
rbp_80,0.001,1,1,citeulike,AP,0.8368
rbp_80,0.001,1,1,citeulike,NDCG,0.9359
rbp_80,0.001,1,1,citeulike,RBP_80,0.7453
rbp_80,0.001,1,1,citeulike,RBP_90,0.5709
rbp_80,0.01,1,1,citeulike,RBP_95,0.3886
rbp_80,0.001,1,1,citeulike,RR,0.959
rbp_90,0.001,1,1,citeulike,AP,0.881
rbp_90,0.001,1,1,citeulike,NDCG,0.9553
rbp_90,0.001,1,1,citeulike,RBP_80,0.7766
rbp_90,0.001,1,1,citeulike,RBP_90,0.5925
rbp_90,0.001,1,1,citeulike,RBP_95,0.4003
rbp_90,0.001,1,1,citeulike,RR,0.9761
rbp_95,0.001,1,1,citeulike,AP,0.9011
rbp_95,0.001,1,1,citeulike,NDCG,0.9634
rbp_95,0.001,1,1,citeulike,RBP_80,0.7895
rbp_95,0.001,1,1,citeulike,RBP_90,0.6014
rbp_95,0.001,1,1,citeulike,RBP_95,0.4053
rbp_95,0.001,1,1,citeulike,RR,0.9812
rr,0.01,1,1,citeulike,AP,0.5803
rr,0.01,1,1,citeulike,NDCG,0.7871
rr,0.01,1,1,citeulike,RBP_80,0.4967
rr,0.01,1,1,citeulike,RBP_90,0.4258
rr,0.01,1,1,citeulike,RBP_95,0.3201
rr,0.01,1,1,citeulike,RR,0.7338
ap,0.001,1,2,citeulike,AP,0.7957
ap,0.001,1,2,citeulike,NDCG,0.9157
ap,0.001,1,2,citeulike,RBP_80,0.7132
ap,0.001,1,2,citeulike,RBP_90,0.5504
ap,0.001,1,2,citeulike,RBP_95,0.3788
ap,0.001,1,2,citeulike,RR,0.9405
dcg,0.001,1,2,citeulike,AP,0.8181
dcg,0.001,1,2,citeulike,NDCG,0.9264
dcg,0.001,1,2,citeulike,RBP_80,0.7296
dcg,0.001,1,2,citeulike,RBP_90,0.5612
dcg,0.001,1,2,citeulike,RBP_95,0.3843
dcg,0.001,1,2,citeulike,RR,0.9502
rbp_80,0.001,1,2,citeulike,AP,0.7476
rbp_80,0.001,1,2,citeulike,NDCG,0.8962
rbp_80,0.001,1,2,citeulike,RBP_80,0.6848
rbp_80,0.001,1,2,citeulike,RBP_90,0.5255
rbp_80,0.001,1,2,citeulike,RBP_95,0.3618
rbp_80,0.001,1,2,citeulike,RR,0.9284
rbp_90,0.001,1,2,citeulike,AP,0.8044
rbp_90,0.001,1,2,citeulike,NDCG,0.9223
rbp_90,0.001,1,2,citeulike,RBP_80,0.7246
rbp_90,0.001,1,2,citeulike,RBP_90,0.5549
rbp_90,0.001,1,2,citeulike,RBP_95,0.3792
rbp_90,0.001,1,2,citeulike,RR,0.9521
rbp_95,0.001,1,2,citeulike,AP,0.8342
rbp_95,0.001,1,2,citeulike,NDCG,0.9351
rbp_95,0.001,1,2,citeulike,RBP_80,0.745
rbp_95,0.001,1,2,citeulike,RBP_90,0.5695
rbp_95,0.001,1,2,citeulike,RBP_95,0.3875
rbp_95,0.001,1,2,citeulike,RR,0.9604
rr,0.001,1,2,citeulike,AP,0.4304
rr,0.001,1,2,citeulike,NDCG,0.7014
rr,0.001,1,2,citeulike,RBP_80,0.3674
rr,0.001,1,2,citeulike,RBP_90,0.3257
rr,0.001,1,2,citeulike,RBP_95,0.2604
rr,0.001,1,2,citeulike,RR,0.6452
ap,0.001,1,5,citeulike,AP,0.7308
ap,0.001,1,5,citeulike,NDCG,0.8857
ap,0.001,1,5,citeulike,RBP_80,0.6704
ap,0.001,1,5,citeulike,RBP_90,0.515
ap,0.001,1,5,citeulike,RBP_95,0.3561
ap,0.001,1,5,citeulike,RR,0.9177
dcg,0.001,1,5,citeulike,AP,0.7489
dcg,0.001,1,5,citeulike,NDCG,0.8954
dcg,0.001,1,5,citeulike,RBP_80,0.6825
dcg,0.001,1,5,citeulike,RBP_90,0.5239
dcg,0.001,1,5,citeulike,RBP_95,0.3615
dcg,0.001,1,5,citeulike,RR,0.9309
rbp_80,0.001,1,5,citeulike,AP,0.5872
rbp_80,0.001,1,5,citeulike,NDCG,0.816
rbp_80,0.001,1,5,citeulike,RBP_80,0.5712
rbp_80,0.001,1,5,citeulike,RBP_90,0.4333
rbp_80,0.01,1,5,citeulike,RBP_95,0.3032
rbp_80,0.001,1,5,citeulike,RR,0.8735
rbp_90,0.001,1,5,citeulike,AP,0.6737
rbp_90,0.001,1,5,citeulike,NDCG,0.8603
rbp_90,0.001,1,5,citeulike,RBP_80,0.6367
rbp_90,0.001,1,5,citeulike,RBP_90,0.4854
rbp_90,0.001,1,5,citeulike,RBP_95,0.3357
rbp_90,0.001,1,5,citeulike,RR,0.909
rbp_95,0.001,1,5,citeulike,AP,0.7201
rbp_95,0.001,1,5,citeulike,NDCG,0.8824
rbp_95,0.001,1,5,citeulike,RBP_80,0.6679
rbp_95,0.001,1,5,citeulike,RBP_90,0.5102
rbp_95,0.001,1,5,citeulike,RBP_95,0.3515
rbp_95,0.001,1,5,citeulike,RR,0.9219
rr,0.001,1,5,citeulike,AP,0.2701
rr,0.001,1,5,citeulike,NDCG,0.5932
rr,0.001,1,5,citeulike,RBP_80,0.2433
rr,0.001,1,5,citeulike,RBP_90,0.2091
rr,0.001,1,5,citeulike,RBP_95,0.175
rr,0.001,1,5,citeulike,RR,0.5237
ap,0.001,2,1,citeulike,AP,0.8364
ap,0.001,2,1,citeulike,NDCG,0.9331
ap,0.001,2,1,citeulike,RBP_80,0.739
ap,0.001,2,1,citeulike,RBP_90,0.5702
ap,0.001,2,1,citeulike,RBP_95,0.3901
ap,0.001,2,1,citeulike,RR,0.9509
dcg,0.001,2,1,citeulike,AP,0.8574
dcg,0.001,2,1,citeulike,NDCG,0.9431
dcg,0.001,2,1,citeulike,RBP_80,0.7556
dcg,0.001,2,1,citeulike,RBP_90,0.5802
dcg,0.001,2,1,citeulike,RBP_95,0.395
dcg,0.001,2,1,citeulike,RR,0.9588
rbp_80,0.01,2,1,citeulike,AP,0.8389
rbp_80,0.01,2,1,citeulike,NDCG,0.9372
rbp_80,0.01,2,1,citeulike,RBP_80,0.7455
rbp_80,0.01,2,1,citeulike,RBP_90,0.5707
rbp_80,0.01,2,1,citeulike,RBP_95,0.3881
rbp_80,0.001,2,1,citeulike,RR,0.9653
rbp_90,0.001,2,1,citeulike,AP,0.8802
rbp_90,0.001,2,1,citeulike,NDCG,0.9552
rbp_90,0.001,2,1,citeulike,RBP_80,0.7768
rbp_90,0.001,2,1,citeulike,RBP_90,0.5916
rbp_90,0.001,2,1,citeulike,RBP_95,0.3994
rbp_90,0.001,2,1,citeulike,RR,0.9759
rbp_95,0.001,2,1,citeulike,AP,0.9065
rbp_95,0.001,2,1,citeulike,NDCG,0.9659
rbp_95,0.001,2,1,citeulike,RBP_80,0.7933
rbp_95,0.001,2,1,citeulike,RBP_90,0.6032
rbp_95,0.001,2,1,citeulike,RBP_95,0.4059
rbp_95,0.001,2,1,citeulike,RR,0.9821
rr,0.001,2,1,citeulike,AP,0.5818
rr,0.001,2,1,citeulike,NDCG,0.7893
rr,0.001,2,1,citeulike,RBP_80,0.4973
rr,0.001,2,1,citeulike,RBP_90,0.4268
rr,0.001,2,1,citeulike,RBP_95,0.3211
rr,0.001,2,1,citeulike,RR,0.744
ap,0.001,2,2,citeulike,AP,0.8053
ap,0.001,2,2,citeulike,NDCG,0.9217
ap,0.001,2,2,citeulike,RBP_80,0.7218
ap,0.001,2,2,citeulike,RBP_90,0.5544
ap,0.001,2,2,citeulike,RBP_95,0.38
ap,0.001,2,2,citeulike,RR,0.9486
dcg,0.001,2,2,citeulike,AP,0.8221
dcg,0.001,2,2,citeulike,NDCG,0.9292
dcg,0.001,2,2,citeulike,RBP_80,0.734
dcg,0.001,2,2,citeulike,RBP_90,0.5631
dcg,0.001,2,2,citeulike,RBP_95,0.3847
dcg,0.001,2,2,citeulike,RR,0.9558
rbp_80,0.01,2,2,citeulike,AP,0.7474
rbp_80,0.01,2,2,citeulike,NDCG,0.8954
rbp_80,0.01,2,2,citeulike,RBP_80,0.6816
rbp_80,0.01,2,2,citeulike,RBP_90,0.5241
rbp_80,0.01,2,2,citeulike,RBP_95,0.3612
rbp_80,0.001,2,2,citeulike,RR,0.9412
rbp_90,0.001,2,2,citeulike,AP,0.808
rbp_90,0.001,2,2,citeulike,NDCG,0.925
rbp_90,0.001,2,2,citeulike,RBP_80,0.7291
rbp_90,0.001,2,2,citeulike,RBP_90,0.5564
rbp_90,0.001,2,2,citeulike,RBP_95,0.3792
rbp_90,0.001,2,2,citeulike,RR,0.9569
rbp_95,0.001,2,2,citeulike,AP,0.8426
rbp_95,0.001,2,2,citeulike,NDCG,0.9396
rbp_95,0.001,2,2,citeulike,RBP_80,0.7505
rbp_95,0.001,2,2,citeulike,RBP_90,0.5726
rbp_95,0.001,2,2,citeulike,RBP_95,0.3889
rbp_95,0.001,2,2,citeulike,RR,0.967
rr,0.001,2,2,citeulike,AP,0.4228
rr,0.001,2,2,citeulike,NDCG,0.6945
rr,0.001,2,2,citeulike,RBP_80,0.3598
rr,0.001,2,2,citeulike,RBP_90,0.3219
rr,0.001,2,2,citeulike,RBP_95,0.2586
rr,0.001,2,2,citeulike,RR,0.6239
ap,0.001,2,5,citeulike,AP,0.7352
ap,0.001,2,5,citeulike,NDCG,0.889
ap,0.001,2,5,citeulike,RBP_80,0.6742
ap,0.001,2,5,citeulike,RBP_90,0.5173
ap,0.001,2,5,citeulike,RBP_95,0.3574
ap,0.001,2,5,citeulike,RR,0.9243
dcg,0.001,2,5,citeulike,AP,0.7522
dcg,0.001,2,5,citeulike,NDCG,0.8983
dcg,0.001,2,5,citeulike,RBP_80,0.6868
dcg,0.001,2,5,citeulike,RBP_90,0.5261
dcg,0.001,2,5,citeulike,RBP_95,0.3622
dcg,0.001,2,5,citeulike,RR,0.9361
rbp_80,0.01,2,5,citeulike,AP,0.5601
rbp_80,0.01,2,5,citeulike,NDCG,0.7979
rbp_80,0.01,2,5,citeulike,RBP_80,0.5429
rbp_80,0.01,2,5,citeulike,RBP_90,0.4168
rbp_80,0.01,2,5,citeulike,RBP_95,0.2946
rbp_80,0.001,2,5,citeulike,RR,0.8558
rbp_90,0.001,2,5,citeulike,AP,0.6532
rbp_90,0.001,2,5,citeulike,NDCG,0.852
rbp_90,0.001,2,5,citeulike,RBP_80,0.6269
rbp_90,0.001,2,5,citeulike,RBP_90,0.4735
rbp_90,0.01,2,5,citeulike,RBP_95,0.3262
rbp_90,0.001,2,5,citeulike,RR,0.9058
rbp_95,0.001,2,5,citeulike,AP,0.7178
rbp_95,0.001,2,5,citeulike,NDCG,0.8829
rbp_95,0.001,2,5,citeulike,RBP_80,0.6696
rbp_95,0.001,2,5,citeulike,RBP_90,0.5089
rbp_95,0.001,2,5,citeulike,RBP_95,0.3486
rbp_95,0.001,2,5,citeulike,RR,0.9254
rr,0.001,2,5,citeulike,AP,0.2629
rr,0.001,2,5,citeulike,NDCG,0.5853
rr,0.001,2,5,citeulike,RBP_80,0.2324
rr,0.001,2,5,citeulike,RBP_90,0.2031
rr,0.001,2,5,citeulike,RBP_95,0.1721
rr,0.001,2,5,citeulike,RR,0.4989
ap,0.001,0,1,Epinions,AP,0.9114
ap,0.001,0,1,Epinions,NDCG,0.9683
ap,0.001,0,1,Epinions,RBP_80,0.8162
ap,0.001,0,1,Epinions,RBP_90,0.6316
ap,0.001,0,1,Epinions,RBP_95,0.4303
ap,0.001,0,1,Epinions,RR,0.9857
dcg,0.001,0,1,Epinions,AP,0.9112
dcg,0.001,0,1,Epinions,NDCG,0.9681
dcg,0.001,0,1,Epinions,RBP_80,0.816
dcg,0.001,0,1,Epinions,RBP_90,0.6313
dcg,0.001,0,1,Epinions,RBP_95,0.4302
dcg,0.001,0,1,Epinions,RR,0.9849
rbp_80,0.001,0,1,Epinions,AP,0.9006
rbp_80,0.001,0,1,Epinions,NDCG,0.965
rbp_80,0.001,0,1,Epinions,RBP_80,0.8109
rbp_80,0.001,0,1,Epinions,RBP_90,0.6268
rbp_80,0.001,0,1,Epinions,RBP_95,0.4273
rbp_80,0.001,0,1,Epinions,RR,0.9863
rbp_90,0.001,0,1,Epinions,AP,0.9106
rbp_90,0.001,0,1,Epinions,NDCG,0.9686
rbp_90,0.001,0,1,Epinions,RBP_80,0.8168
rbp_90,0.001,0,1,Epinions,RBP_90,0.6312
rbp_90,0.001,0,1,Epinions,RBP_95,0.4298
rbp_90,0.001,0,1,Epinions,RR,0.9874
rbp_95,0.001,0,1,Epinions,AP,0.9188
rbp_95,0.001,0,1,Epinions,NDCG,0.9718
rbp_95,0.001,0,1,Epinions,RBP_80,0.8223
rbp_95,0.001,0,1,Epinions,RBP_90,0.6351
rbp_95,0.001,0,1,Epinions,RBP_95,0.4319
rbp_95,0.001,0,1,Epinions,RR,0.9889
