metric_optim,lr,fold,NSR,dataset,metric_eval,y
rr,10,0,5,citeulike,RBP_80,0.2109
rr,10,0,5,citeulike,RBP_90,0.185
rr,10,0,5,citeulike,RBP_95,0.1599
rr,10,0,5,citeulike,RR,0.4883
ap,10,1,1,citeulike,AP,0.8571
ap,3,1,1,citeulike,NDCG,0.9421
ap,10,1,1,citeulike,RBP_80,0.7542
ap,3,1,1,citeulike,RBP_90,0.5815
ap,3,1,1,citeulike,RBP_95,0.3965
ap,10,1,1,citeulike,RR,0.9614
dcg,3,1,1,citeulike,AP,0.8556
dcg,3,1,1,citeulike,NDCG,0.9428
dcg,3,1,1,citeulike,RBP_80,0.7543
dcg,3,1,1,citeulike,RBP_90,0.5802
dcg,3,1,1,citeulike,RBP_95,0.3956
dcg,10,1,1,citeulike,RR,0.9671
rbp_80,0.1,1,1,citeulike,AP,0.9143
rbp_80,0.1,1,1,citeulike,NDCG,0.9666
rbp_80,0.1,1,1,citeulike,RBP_80,0.795
rbp_80,0.1,1,1,citeulike,RBP_90,0.6069
rbp_80,0.1,1,1,citeulike,RBP_95,0.4088
rbp_80,0.1,1,1,citeulike,RR,0.9769
rbp_90,0.1,1,1,citeulike,AP,0.9143
rbp_90,0.1,1,1,citeulike,NDCG,0.9666
rbp_90,0.1,1,1,citeulike,RBP_80,0.795
rbp_90,0.1,1,1,citeulike,RBP_90,0.6069
rbp_90,0.1,1,1,citeulike,RBP_95,0.4088
rbp_90,0.1,1,1,citeulike,RR,0.9769
rbp_95,0.1,1,1,citeulike,AP,0.9143
rbp_95,0.1,1,1,citeulike,NDCG,0.9666
rbp_95,0.1,1,1,citeulike,RBP_80,0.795
rbp_95,0.1,1,1,citeulike,RBP_90,0.6069
rbp_95,0.1,1,1,citeulike,RBP_95,0.4088
rbp_95,0.1,1,1,citeulike,RR,0.9769
rr,10,1,1,citeulike,AP,0.5871
rr,10,1,1,citeulike,NDCG,0.797
rr,10,1,1,citeulike,RBP_80,0.5068
rr,10,1,1,citeulike,RBP_90,0.4274
rr,10,1,1,citeulike,RBP_95,0.3195
rr,1,1,1,citeulike,RR,0.7777
ap,10,1,2,citeulike,AP,0.8099
ap,3,1,2,citeulike,NDCG,0.9226
ap,10,1,2,citeulike,RBP_80,0.7201
ap,1,1,2,citeulike,RBP_90,0.5572
ap,1,1,2,citeulike,RBP_95,0.3834
ap,10,1,2,citeulike,RR,0.9507
dcg,3,1,2,citeulike,AP,0.8112
dcg,3,1,2,citeulike,NDCG,0.924
dcg,3,1,2,citeulike,RBP_80,0.7229
dcg,3,1,2,citeulike,RBP_90,0.5575
dcg,3,1,2,citeulike,RBP_95,0.3829
dcg,1,1,2,citeulike,RR,0.9543
rbp_80,0.1,1,2,citeulike,AP,0.8688
rbp_80,0.1,1,2,citeulike,NDCG,0.9487
rbp_80,0.1,1,2,citeulike,RBP_80,0.7653
rbp_80,0.1,1,2,citeulike,RBP_90,0.5853
rbp_80,0.1,1,2,citeulike,RBP_95,0.3968
rbp_80,0.1,1,2,citeulike,RR,0.9672
rbp_90,0.1,1,2,citeulike,AP,0.8688
rbp_90,0.1,1,2,citeulike,NDCG,0.9487
rbp_90,0.1,1,2,citeulike,RBP_80,0.7653
rbp_90,0.1,1,2,citeulike,RBP_90,0.5853
rbp_90,0.1,1,2,citeulike,RBP_95,0.3968
rbp_90,0.1,1,2,citeulike,RR,0.9672
rbp_95,0.1,1,2,citeulike,AP,0.8687
rbp_95,0.1,1,2,citeulike,NDCG,0.9487
rbp_95,0.1,1,2,citeulike,RBP_80,0.765
rbp_95,0.1,1,2,citeulike,RBP_90,0.5852
rbp_95,0.1,1,2,citeulike,RBP_95,0.3968
rbp_95,0.1,1,2,citeulike,RR,0.9681
rr,3,1,2,citeulike,AP,0.4334
