loss_type: lambda_dcg, lr: 0.001, frac: 1.0, th: 0, emb_size: 32, fold: 1, NDCG = 0.9675, AP = 0.9104, RR = 0.9841, RBP_80 = 0.8155, RBP_90 = 0.6312, RBP_95 = 0.4301, 
loss_type: lambda_dcg, lr: 0.01, frac: 1.0, th: 0, emb_size: 32, fold: 1, NDCG = 0.965, AP = 0.9042, RR = 0.9829, RBP_80 = 0.8108, RBP_90 = 0.628, RBP_95 = 0.4284, 
loss_type: lambda_ap, lr: 0.001, frac: 1.0, th: 0, emb_size: 32, fold: 1, NDCG = 0.968, AP = 0.911, RR = 0.985, RBP_80 = 0.8163, RBP_90 = 0.6315, RBP_95 = 0.4302, 
loss_type: lambda_ap, lr: 0.01, frac: 1.0, th: 0, emb_size: 32, fold: 1, NDCG = 0.9618, AP = 0.8967, RR = 0.9784, RBP_80 = 0.8056, RBP_90 = 0.6245, RBP_95 = 0.4266, 
loss_type: lambda_rr, lr: 0.001, frac: 1.0, th: 0, emb_size: 32, fold: 1, NDCG = 0.8116, AP = 0.5973, RR = 0.8276, RBP_80 = 0.5358, RBP_90 = 0.4497, RBP_95 = 0.3382, 
loss_type: lambda_rr, lr: 0.01, frac: 1.0, th: 0, emb_size: 32, fold: 1, NDCG = 0.808, AP = 0.5921, RR = 0.8199, RBP_80 = 0.5323, RBP_90 = 0.448, RBP_95 = 0.3376, 
loss_type: lambda_rbp_80, lr: 0.001, frac: 1.0, th: 0, emb_size: 32, fold: 1, NDCG = 0.9651, AP = 0.9009, RR = 0.9862, RBP_80 = 0.8109, RBP_90 = 0.6267, RBP_95 = 0.4272, 
loss_type: lambda_rbp_80, lr: 0.01, frac: 1.0, th: 0, emb_size: 32, fold: 1, NDCG = 0.9597, AP = 0.8898, RR = 0.9796, RBP_80 = 0.8025, RBP_90 = 0.6215, RBP_95 = 0.4245, 
loss_type: lambda_rbp_90, lr: 0.001, frac: 1.0, th: 0, emb_size: 32, fold: 1, NDCG = 0.9696, AP = 0.9131, RR = 0.9869, RBP_80 = 0.819, RBP_90 = 0.6324, RBP_95 = 0.4302, 
loss_type: lambda_rbp_90, lr: 0.01, frac: 1.0, th: 0, emb_size: 32, fold: 1, NDCG = 0.9647, AP = 0.9018, RR = 0.9838, RBP_80 = 0.8104, RBP_90 = 0.6271, RBP_95 = 0.4276, 
loss_type: lambda_rbp_95, lr: 0.001, frac: 1.0, th: 0, emb_size: 32, fold: 1, NDCG = 0.9717, AP = 0.9189, RR = 0.9884, RBP_80 = 0.8223, RBP_90 = 0.6349, RBP_95 = 0.4317, 
loss_type: lambda_rbp_95, lr: 0.01, frac: 1.0, th: 0, emb_size: 32, fold: 1, NDCG = 0.9682, AP = 0.912, RR = 0.984, RBP_80 = 0.8164, RBP_90 = 0.6319, RBP_95 = 0.4304, 
loss_type: lambda_dcg, lr: 0.001, frac: 2.0, th: 0, emb_size: 32, fold: 1, NDCG = 0.9521, AP = 0.8706, RR = 0.9783, RBP_80 = 0.7922, RBP_90 = 0.6117, RBP_95 = 0.4181, 
loss_type: lambda_dcg, lr: 0.01, frac: 2.0, th: 0, emb_size: 32, fold: 1, NDCG = 0.9483, AP = 0.8615, RR = 0.976, RBP_80 = 0.7845, RBP_90 = 0.6066, RBP_95 = 0.4155, 
loss_type: lambda_ap, lr: 0.001, frac: 2.0, th: 0, emb_size: 32, fold: 1, NDCG = 0.9524, AP = 0.8716, RR = 0.9771, RBP_80 = 0.7928, RBP_90 = 0.6121, RBP_95 = 0.4183, 
loss_type: lambda_ap, lr: 0.01, frac: 2.0, th: 0, emb_size: 32, fold: 1, NDCG = 0.9451, AP = 0.855, RR = 0.9719, RBP_80 = 0.7798, RBP_90 = 0.6036, RBP_95 = 0.414, 
loss_type: lambda_rr, lr: 0.001, frac: 2.0, th: 0, emb_size: 32, fold: 1, NDCG = 0.7446, AP = 0.4688, RR = 0.7747, RBP_80 = 0.4403, RBP_90 = 0.3658, RBP_95 = 0.2836, 
loss_type: lambda_rr, lr: 0.01, frac: 2.0, th: 0, emb_size: 32, fold: 1, NDCG = 0.7277, AP = 0.4457, RR = 0.7471, RBP_80 = 0.412, RBP_90 = 0.348, RBP_95 = 0.2746, 
loss_type: lambda_rbp_80, lr: 0.001, frac: 2.0, th: 0, emb_size: 32, fold: 1, NDCG = 0.942, AP = 0.842, RR = 0.9737, RBP_80 = 0.7757, RBP_90 = 0.5977, RBP_95 = 0.4093, 
loss_type: lambda_rbp_80, lr: 0.01, frac: 2.0, th: 0, emb_size: 32, fold: 1, NDCG = 0.9339, AP = 0.8263, RR = 0.9649, RBP_80 = 0.7625, RBP_90 = 0.5894, RBP_95 = 0.4052, 
