loss_type,lr,threshold,reg,fold,frac,emb_size,NDCG@5,NDCG,RR,AP,RBP_80,RBP_90,RBP_95
rbp,0.1,0,0,0,5.0,64,0.8340000000000001,0.9144,0.9431,0.7884,0.7103,0.5435,0.3721
ap,0.5,0,0,0,5.0,8,0.7199,0.8567,0.893,0.6732,0.6199,0.4848,0.3414
ap,0.5,0,0,0,5.0,16,0.7467,0.8721,0.9097,0.7026,0.6437,0.5006,0.3499
ap,0.5,0,0,0,5.0,32,0.7682,0.8836,0.9193,0.725,0.6614,0.5125,0.3565
ap,0.5,0,0,0,5.0,64,0.773,0.8865,0.9218,0.7325,0.6661,0.5169,0.3595
ap,0.5,0,0,0,5.0,128,0.7842,0.8918,0.9283,0.7417,0.6738,0.5213,0.3617
rr,0.5,0,0,0,5.0,8,0.2227,0.5655,0.4674,0.2409,0.1993,0.1786,0.157
rr,0.5,0,0,0,5.0,32,0.2167,0.56,0.4586,0.2349,0.1948,0.1748,0.1542
rr,0.5,0,0,0,5.0,64,0.2084,0.5583,0.4396,0.2352,0.1923,0.1762,0.1564
rr,0.5,0,0,0,5.0,16,0.2253,0.5637,0.4672,0.2383,0.2015,0.1796,0.1573
rr,0.5,0,0,0,5.0,128,0.2076,0.556,0.4481,0.2317,0.1875,0.171,0.1534
dcg,0.01,0,0,0,1.0,16,0.5005,0.7791,0.7042,0.5724,0.4833,0.4205,0.3185
dcg,0.01,0,0,0,1.0,32,0.5058,0.7793,0.7009,0.5732,0.4863,0.4212,0.3183
dcg,0.01,0,0,0,1.0,64,0.5066,0.7818,0.7085,0.5767,0.4881,0.4226,0.3191
dcg,0.01,0,0,0,1.0,128,0.514,0.7829999999999999,0.7133,0.5779,0.4929,0.4256,0.3206
dcg,0.01,0,0,0,1.0,8,0.5055,0.7818,0.7126,0.5754,0.4865,0.4212,0.3182
ap,0.01,0,0,0,1.0,8,0.5033,0.7805,0.708,0.5739,0.485,0.4204,0.3179
ap,0.01,0,0,0,1.0,16,0.4963,0.7777,0.6987,0.5706,0.4818,0.4202,0.3184
ap,0.01,0,0,0,1.0,32,0.5196,0.7842,0.7119,0.5822,0.4987,0.4311,0.3245
rbp,0.01,0,0,0,1.0,8,0.8819,0.9486,0.9565,0.878,0.7665,0.5914,0.402
rbp,0.01,0,0,0,1.0,16,0.8996,0.9572,0.9682,0.8944,0.7794,0.5984,0.405
ap,0.01,0,0,0,1.0,64,0.5059,0.7811,0.7081,0.5759,0.4873,0.4226,0.3193
rbp,0.01,0,0,0,1.0,32,0.9078,0.9597,0.9688,0.9007,0.7851,0.6019,0.4068
ap,0.01,0,0,0,1.0,128,0.5084,0.7804,0.7079,0.5745,0.4905,0.4249,0.3205
rbp,0.01,0,0,0,1.0,64,0.9153,0.9633,0.9744,0.9073,0.7901,0.6047,0.408
dcg,0.05,0,0,0,1.0,8,0.6289,0.8314,0.8085,0.6485,0.5672,0.4646,0.3379
rbp,0.01,0,0,0,1.0,128,0.9192,0.9651,0.9759,0.9113,0.7935,0.6067,0.4089
dcg,0.05,0,0,0,1.0,16,0.6647,0.8485,0.8482,0.6738,0.593,0.4792,0.3448
dcg,0.05,0,0,0,1.0,32,0.6987,0.8621,0.8692,0.6965,0.6154,0.4917,0.3503
dcg,0.05,0,0,0,1.0,128,0.7831,0.8989,0.9181,0.7623,0.6773,0.5272,0.3667
dcg,0.05,0,0,0,1.0,64,0.7393,0.8799,0.8919,0.7283,0.6459999999999999,0.5097,0.3588
rbp,0.05,0,0,0,1.0,8,0.8842,0.9503,0.958,0.8818,0.7691,0.5929,0.4027
ap,0.05,0,0,0,1.0,16,0.6319,0.8298,0.8012,0.6553,0.5825,0.4839,0.3517
ap,0.05,0,0,0,1.0,32,0.6571,0.8422,0.8137,0.6786,0.604,0.4981,0.3592
ap,0.05,0,0,0,1.0,8,0.5969,0.8168,0.7747,0.6339,0.5571,0.4678,0.3434
ap,0.05,0,0,0,1.0,64,0.6723,0.8477,0.8316,0.6855,0.6135,0.5033,0.3617
rr,0.01,0,0,0,1.0,8,0.5018,0.7795,0.7034,0.5732,0.4844,0.4204,0.3179
rbp,0.05,0,0,0,1.0,16,0.9042,0.9587,0.968,0.8981,0.7824,0.6,0.4057
rr,0.01,0,0,0,1.0,16,0.4968,0.777,0.6958,0.5699,0.4811,0.4197,0.3182
rr,0.01,0,0,0,1.0,32,0.5057,0.7791,0.7047,0.5724,0.4856,0.4206,0.3181
rbp,0.05,0,0,0,1.0,32,0.9183,0.9643,0.9766,0.9091,0.7918,0.6053,0.4081
rbp,0.05,0,0,0,1.0,64,0.9246,0.9668,0.9794,0.9146,0.7959,0.6077,0.4093
