loss_type: rbp_80, lr: 3.0, frac: 1.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9063, AP = 0.804, RR = 0.8736, RBP_80 = 0.697, RBP_90 = 0.553, RBP_95 = 0.3844, 
loss_type: rbp_80, lr: 10.0, frac: 1.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.8602, AP = 0.7078, RR = 0.836, RBP_80 = 0.6233, RBP_90 = 0.5047, RBP_95 = 0.3603, 
loss_type: rbp_90, lr: 0.001, frac: 1.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9478, AP = 0.8763, RR = 0.9581, RBP_80 = 0.7668, RBP_90 = 0.5922, RBP_95 = 0.4027, 
loss_type: rbp_90, lr: 0.01, frac: 1.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.961, AP = 0.9023, RR = 0.9731, RBP_80 = 0.7877, RBP_90 = 0.6029, RBP_95 = 0.407, 
loss_type: rbp_90, lr: 0.1, frac: 1.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9666, AP = 0.914, RR = 0.9784, RBP_80 = 0.7963, RBP_90 = 0.6074, RBP_95 = 0.4089, 
loss_type: rbp_90, lr: 1.0, frac: 1.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9192, AP = 0.8344, RR = 0.8815, RBP_80 = 0.717, RBP_90 = 0.5664, RBP_95 = 0.3912, 
loss_type: rbp_90, lr: 3.0, frac: 1.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9063, AP = 0.804, RR = 0.8736, RBP_80 = 0.697, RBP_90 = 0.553, RBP_95 = 0.3844, 
loss_type: rbp_90, lr: 10.0, frac: 1.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.8602, AP = 0.7078, RR = 0.8357, RBP_80 = 0.6233, RBP_90 = 0.5048, RBP_95 = 0.3603, 
loss_type: rbp_95, lr: 0.001, frac: 1.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9478, AP = 0.8763, RR = 0.9581, RBP_80 = 0.7668, RBP_90 = 0.5922, RBP_95 = 0.4027, 
loss_type: rbp_95, lr: 0.01, frac: 1.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.961, AP = 0.9023, RR = 0.9731, RBP_80 = 0.7877, RBP_90 = 0.6029, RBP_95 = 0.407, 
loss_type: rbp_95, lr: 0.1, frac: 1.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9666, AP = 0.914, RR = 0.9784, RBP_80 = 0.7963, RBP_90 = 0.6074, RBP_95 = 0.4089, 
loss_type: rbp_95, lr: 1.0, frac: 1.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9192, AP = 0.8344, RR = 0.8815, RBP_80 = 0.717, RBP_90 = 0.5664, RBP_95 = 0.3912, 
loss_type: rbp_95, lr: 3.0, frac: 1.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9056, AP = 0.804, RR = 0.8687, RBP_80 = 0.6959, RBP_90 = 0.5527, RBP_95 = 0.3844, 
loss_type: rbp_95, lr: 10.0, frac: 1.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.8602, AP = 0.7078, RR = 0.8357, RBP_80 = 0.6233, RBP_90 = 0.5048, RBP_95 = 0.3603, 
loss_type: ndcg_5, lr: 0.001, frac: 2.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.6751, AP = 0.4044, RR = 0.5554, RBP_80 = 0.3284, RBP_90 = 0.3063, RBP_95 = 0.2519, 
loss_type: ndcg_5, lr: 0.01, frac: 2.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.6791, AP = 0.409, RR = 0.5664, RBP_80 = 0.3336, RBP_90 = 0.3089, RBP_95 = 0.253, 
loss_type: ndcg_5, lr: 0.1, frac: 2.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.8779, AP = 0.715, RR = 0.9079, RBP_80 = 0.6447, RBP_90 = 0.4997, RBP_95 = 0.3494, 
loss_type: ndcg_5, lr: 1.0, frac: 2.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9251, AP = 0.8133, RR = 0.9561, RBP_80 = 0.7244, RBP_90 = 0.558, RBP_95 = 0.383, 
loss_type: ndcg_5, lr: 3.0, frac: 2.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9249, AP = 0.8136, RR = 0.9537, RBP_80 = 0.7245, RBP_90 = 0.5581, RBP_95 = 0.383, 
loss_type: ndcg_5, lr: 10.0, frac: 2.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.925, AP = 0.8134, RR = 0.9553, RBP_80 = 0.7244, RBP_90 = 0.558, RBP_95 = 0.3829, 
loss_type: dcg, lr: 0.001, frac: 2.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.6752, AP = 0.4044, RR = 0.5556, RBP_80 = 0.3284, RBP_90 = 0.3063, RBP_95 = 0.2519, 
loss_type: dcg, lr: 0.01, frac: 2.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.6791, AP = 0.409, RR = 0.5664, RBP_80 = 0.3336, RBP_90 = 0.3089, RBP_95 = 0.253, 
loss_type: dcg, lr: 0.1, frac: 2.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.8779, AP = 0.715, RR = 0.9079, RBP_80 = 0.6447, RBP_90 = 0.4997, RBP_95 = 0.3494, 
loss_type: dcg, lr: 1.0, frac: 2.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9253, AP = 0.8134, RR = 0.9567, RBP_80 = 0.7245, RBP_90 = 0.5581, RBP_95 = 0.383, 
loss_type: dcg, lr: 3.0, frac: 2.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9249, AP = 0.8135, RR = 0.9539, RBP_80 = 0.7245, RBP_90 = 0.5582, RBP_95 = 0.383, 
loss_type: dcg, lr: 10.0, frac: 2.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9251, AP = 0.8134, RR = 0.9559, RBP_80 = 0.7246, RBP_90 = 0.5581, RBP_95 = 0.3829, 
loss_type: ap, lr: 0.001, frac: 2.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.6753, AP = 0.4045, RR = 0.5569, RBP_80 = 0.3286, RBP_90 = 0.3065, RBP_95 = 0.252, 
loss_type: ap, lr: 0.01, frac: 2.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.7233, AP = 0.4771, RR = 0.6546, RBP_80 = 0.4229, RBP_90 = 0.3734, RBP_95 = 0.2923, 
loss_type: ap, lr: 0.1, frac: 2.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.8909, AP = 0.7553, RR = 0.9005, RBP_80 = 0.6762, RBP_90 = 0.5338, RBP_95 = 0.3736, 
loss_type: ap, lr: 1.0, frac: 2.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9234, AP = 0.812, RR = 0.9497, RBP_80 = 0.7228, RBP_90 = 0.559, RBP_95 = 0.384, 
loss_type: ap, lr: 3.0, frac: 2.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9239, AP = 0.8132, RR = 0.9509, RBP_80 = 0.724, RBP_90 = 0.5597, RBP_95 = 0.3843, 
loss_type: ap, lr: 10.0, frac: 2.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9241, AP = 0.8136, RR = 0.9504, RBP_80 = 0.7239, RBP_90 = 0.5596, RBP_95 = 0.3843, 
loss_type: rr, lr: 0.001, frac: 2.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.6746, AP = 0.4039, RR = 0.554, RBP_80 = 0.3279, RBP_90 = 0.3061, RBP_95 = 0.2518, 
loss_type: rr, lr: 0.01, frac: 2.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.6749, AP = 0.404, RR = 0.5555, RBP_80 = 0.3281, RBP_90 = 0.3062, RBP_95 = 0.2518, 
loss_type: rr, lr: 0.1, frac: 2.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.6857, AP = 0.4118, RR = 0.6056, RBP_80 = 0.3437, RBP_90 = 0.3109, RBP_95 = 0.2523, 
loss_type: rr, lr: 1.0, frac: 2.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.6999, AP = 0.4248, RR = 0.6496, RBP_80 = 0.3602, RBP_90 = 0.3165, RBP_95 = 0.2538, 
loss_type: rr, lr: 3.0, frac: 2.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.7005, AP = 0.4253, RR = 0.6572, RBP_80 = 0.3651, RBP_90 = 0.3198, RBP_95 = 0.2554, 
loss_type: rr, lr: 10.0, frac: 2.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.6994, AP = 0.4251, RR = 0.652, RBP_80 = 0.365, RBP_90 = 0.3207, RBP_95 = 0.2561, 
loss_type: rbp_80, lr: 0.001, frac: 2.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9293, AP = 0.8322, RR = 0.9449, RBP_80 = 0.7372, RBP_90 = 0.5716, RBP_95 = 0.3916, 
loss_type: rbp_80, lr: 0.01, frac: 2.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9437, AP = 0.8594, RR = 0.962, RBP_80 = 0.7581, RBP_90 = 0.5819, RBP_95 = 0.3956, 
loss_type: rbp_80, lr: 0.1, frac: 2.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.949, AP = 0.8699, RR = 0.9654, RBP_80 = 0.7667, RBP_90 = 0.5859, RBP_95 = 0.3969, 
loss_type: rbp_80, lr: 1.0, frac: 2.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.8789, AP = 0.7669, RR = 0.7852, RBP_80 = 0.6577, RBP_90 = 0.5319, RBP_95 = 0.374, 
loss_type: rbp_80, lr: 3.0, frac: 2.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.8133, AP = 0.6315, RR = 0.7439, RBP_80 = 0.5539, RBP_90 = 0.4629, RBP_95 = 0.3387, 
loss_type: rbp_80, lr: 10.0, frac: 2.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.7777, AP = 0.5572, RR = 0.7341, RBP_80 = 0.4933, RBP_90 = 0.4143, RBP_95 = 0.3109, 
loss_type: rbp_90, lr: 0.001, frac: 2.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9293, AP = 0.8322, RR = 0.9449, RBP_80 = 0.7372, RBP_90 = 0.5716, RBP_95 = 0.3916, 
loss_type: rbp_90, lr: 0.01, frac: 2.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9436, AP = 0.8593, RR = 0.961, RBP_80 = 0.7581, RBP_90 = 0.5819, RBP_95 = 0.3956, 
loss_type: rbp_90, lr: 0.1, frac: 2.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.949, AP = 0.8699, RR = 0.9654, RBP_80 = 0.7667, RBP_90 = 0.5859, RBP_95 = 0.3969, 
