loss_type,lr,threshold,reg,fold,frac,emb_size,NDCG@5,NDCG,RR,AP,RBP_80,RBP_90,RBP_95
lambda_rr,0.001,4,0,0,5.0,32,0.2187,0.5554,0.4669,0.2593,0.1965,0.17600000000000002,0.149
lambda_rr,0.1,4,0,0,5.0,32,0.177,0.5321,0.3836,0.2403,0.1721,0.1656,0.1453
lambda_rr,0.01,4,0,0,5.0,32,0.2123,0.552,0.4581,0.256,0.1928,0.1742,0.1482
lambda_rbp_95,0.001,4,0,0,2.0,32,0.6459999999999999,0.8286,0.8747,0.64,0.526,0.3872,0.256
lambda_rbp_95,0.01,4,0,0,2.0,32,0.5866,0.7993,0.8423,0.59,0.486,0.3665,0.2477
lambda_rbp_95,0.1,4,0,0,2.0,32,0.3949,0.6987,0.6531,0.4541,0.3614,0.3046,0.2226
lambda_rbp_95,0.001,4,0,0,5.0,32,0.5903,0.7698,0.8373,0.5361,0.4622,0.3288,0.2198
lambda_rbp_95,0.01,4,0,0,5.0,32,0.4768,0.7058,0.7571,0.4398,0.3787,0.2811,0.1989
lambda_rbp_95,0.1,4,0,0,5.0,32,0.2409,0.5679,0.4947,0.2722,0.2124,0.1851,0.1532
lambda_dcg,0.001,4,0,1,1.0,32,0.6922,0.8674,0.8925,0.7197,0.5836,0.4294,0.2764
lambda_ap,0.001,4,0,1,1.0,32,0.6868,0.8651,0.8912,0.7153,0.5803,0.428,0.2758
lambda_dcg,0.01,4,0,1,1.0,32,0.6586,0.8513,0.8759,0.6906,0.5615,0.4187,0.2723
lambda_dcg,0.1,4,0,1,1.0,32,0.5443,0.7955,0.7726,0.611,0.4927,0.3875,0.2606
lambda_ap,0.01,4,0,1,1.0,32,0.6509999999999999,0.8479,0.8718,0.6846,0.5567,0.4164,0.2714
lambda_ap,0.1,4,0,1,1.0,32,0.5464,0.7962,0.7735,0.6119,0.4938,0.3878,0.2607
lambda_rr,0.001,4,0,1,1.0,32,0.5273,0.7871,0.7542,0.6004,0.4829,0.3833,0.2591
lambda_rr,0.01,4,0,1,1.0,32,0.5257,0.7866,0.7518,0.6001,0.4822,0.38299999999999995,0.259
lambda_rr,0.1,4,0,1,1.0,32,0.5086,0.7772,0.7176,0.5921,0.4743,0.3807,0.2584
lambda_rbp_80,0.001,4,0,1,1.0,32,0.6594,0.8524,0.8752,0.6936,0.563,0.4197,0.2727
lambda_rbp_90,0.001,4,0,1,1.0,32,0.6940000000000001,0.8684,0.8971,0.72,0.5841,0.4294,0.2763
lambda_rbp_95,0.001,4,0,1,1.0,32,0.7159,0.8787,0.9091,0.7376,0.5974,0.4355,0.2785
lambda_rbp_80,0.01,4,0,1,1.0,32,0.6255,0.8362,0.8551,0.6659999999999999,0.5408,0.4088,0.2684
lambda_rbp_90,0.01,4,0,1,1.0,32,0.6538,0.8498,0.8777,0.6868,0.5582,0.4169,0.2716
lambda_rbp_95,0.01,4,0,1,1.0,32,0.6742,0.8595,0.8904,0.7026,0.5708,0.4227,0.2737
lambda_rbp_90,0.1,4,0,1,1.0,32,0.5496,0.7983,0.7793,0.6142,0.4955,0.3884,0.2608
lambda_rbp_80,0.1,4,0,1,1.0,32,0.5457,0.7959,0.7756,0.6109,0.4926,0.3871,0.2603
lambda_rbp_95,0.1,4,0,1,1.0,32,0.5485,0.7968,0.7709,0.6136,0.4951,0.3886,0.261
lambda_dcg,0.001,4,0,1,2.0,32,0.6234,0.8184,0.8608,0.6233,0.5127,0.3813,0.254
lambda_dcg,0.01,4,0,1,2.0,32,0.5829,0.7975,0.8402,0.5877,0.4841,0.366,0.2477
lambda_dcg,0.1,4,0,1,2.0,32,0.3855,0.6938,0.6413,0.4489,0.3562,0.3026,0.2221
lambda_ap,0.001,4,0,1,2.0,32,0.6132,0.8134,0.8541,0.6153,0.5063,0.3783,0.2528
lambda_ap,0.01,4,0,1,2.0,32,0.5735,0.7926,0.8315,0.5804,0.4782,0.3631,0.2466
lambda_rr,0.01,4,0,1,2.0,32,0.3689,0.6862,0.6273,0.4391,0.3451,0.2968,0.2197
lambda_ap,0.1,4,0,1,2.0,32,0.3879,0.6955,0.6463,0.4505,0.3576,0.303,0.2221
lambda_rr,0.1,4,0,1,2.0,32,0.3424,0.6716,0.5713,0.4273,0.3326,0.2931,0.2188
lambda_rr,0.001,4,0,1,2.0,32,0.3701,0.6869,0.6296,0.4398,0.3457,0.2971,0.2198
lambda_dcg,0.001,4,0,1,5.0,32,0.5807,0.7653,0.8291,0.5304,0.4567,0.3268,0.2193
lambda_dcg,0.01,4,0,1,5.0,32,0.478,0.7073,0.7586,0.4425,0.3805,0.2825,0.1996
lambda_dcg,0.1,4,0,1,5.0,32,0.22699999999999998,0.56,0.47,0.265,0.2042,0.1816,0.152
lambda_ap,0.001,4,0,1,5.0,32,0.5585,0.7529,0.8144,0.5117,0.4402,0.3173,0.2152
lambda_ap,0.01,4,0,1,5.0,32,0.4741,0.7047,0.7537,0.439,0.3777,0.2808,0.1989
lambda_ap,0.1,4,0,1,5.0,32,0.2269,0.5601,0.474,0.2647,0.2035,0.1807,0.1514
lambda_rr,0.001,4,0,1,5.0,32,0.2161,0.5541,0.4645,0.258,0.1948,0.1751,0.1486
lambda_rbp_90,0.001,4,0,1,2.0,32,0.6118,0.8127,0.8555,0.6131,0.5049,0.3772,0.2523
lambda_rbp_80,0.001,4,0,1,2.0,32,0.5726,0.7928,0.8264,0.5827,0.4792,0.3644,0.2472
lambda_rr,0.1,4,0,1,5.0,32,0.1772,0.5325,0.3846,0.2404,0.1727,0.166,0.1455
lambda_rr,0.01,4,0,1,5.0,32,0.2132,0.5519,0.4572,0.256,0.1927,0.1738,0.1479
lambda_rbp_95,0.001,4,0,1,2.0,32,0.6409,0.8271,0.8734,0.637,0.5234,0.3862,0.2557
lambda_rbp_80,0.01,4,0,1,2.0,32,0.5252,0.768,0.7928,0.544,0.4466,0.3472,0.2401
lambda_rbp_90,0.01,4,0,1,2.0,32,0.5635,0.7876,0.8256,0.5722,0.4716,0.3597,0.2452
lambda_rbp_95,0.01,4,0,1,2.0,32,0.585,0.7984,0.8428,0.5881,0.4847,0.3661,0.2477
lambda_rbp_80,0.1,4,0,1,2.0,32,0.3847,0.6938,0.6462,0.4476,0.3548,0.3012,0.2213
lambda_rbp_90,0.1,4,0,1,2.0,32,0.3954,0.6991,0.6574,0.4538,0.3613,0.3042,0.2225
lambda_rbp_95,0.1,4,0,1,2.0,32,0.3953,0.6994,0.655,0.455,0.3618,0.3049,0.2228
lambda_rbp_80,0.001,4,0,1,5.0,32,0.4768,0.7074,0.7609999999999999,0.4421,0.3791,0.2811,0.1986
lambda_rbp_95,0.001,4,0,1,5.0,32,0.5786,0.7641,0.831,0.5273,0.4541,0.3246,0.2183
lambda_rbp_90,0.001,4,0,1,5.0,32,0.5272,0.7359,0.7993,0.4838,0.4158,0.3022,0.20800000000000002
lambda_rbp_80,0.01,4,0,1,5.0,32,0.4129,0.6705,0.6955,0.3937,0.3349,0.257,0.1879
lambda_rbp_90,0.01,4,0,1,5.0,32,0.45,0.6912,0.7332,0.42,0.3608,0.2714,0.1946
lambda_rbp_95,0.01,4,0,1,5.0,32,0.4723,0.7042,0.7556,0.4375,0.3766,0.2804,0.1988
lambda_rbp_80,0.1,4,0,1,5.0,32,0.2144,0.5532,0.4565,0.258,0.1949,0.1759,0.1492
lambda_rbp_90,0.1,4,0,1,5.0,32,0.2318,0.5624,0.4809,0.2667,0.2063,0.1819,0.1518
lambda_rbp_95,0.1,4,0,1,5.0,32,0.243,0.5691,0.4991,0.2731,0.2141,0.1861,0.1536
lambda_dcg,0.001,4,0,2,1.0,32,0.6999,0.8711,0.8985,0.7253,0.5881,0.4315,0.2772
lambda_dcg,0.01,4,0,2,1.0,32,0.6611,0.8531,0.8796,0.6929,0.5633,0.4193,0.2725
lambda_dcg,0.1,4,0,2,1.0,32,0.5414,0.7941,0.7681,0.6094,0.4914,0.3869,0.2604
lambda_ap,0.001,4,0,2,1.0,32,0.6931,0.8681,0.8947,0.7201,0.5842,0.4296,0.2764
lambda_ap,0.01,4,0,2,1.0,32,0.6543,0.8494,0.8734,0.6873,0.5588,0.4174,0.2718
lambda_rr,0.001,4,0,2,1.0,32,0.5303,0.7888,0.7588,0.6021,0.4839,0.3834,0.2591
lambda_rbp_80,0.001,4,0,2,1.0,32,0.6627,0.8535,0.8758,0.6956,0.5647,0.4203,0.2729
lambda_ap,0.1,4,0,2,1.0,32,0.5434,0.7954,0.773,0.6106,0.4923,0.3871,0.2604
lambda_rr,0.01,4,0,2,1.0,32,0.5257,0.7867,0.7523,0.6002,0.4822,0.38299999999999995,0.259
lambda_rr,0.1,4,0,2,1.0,32,0.5102,0.778,0.7194,0.5931,0.4754,0.3813,0.2586
lambda_rbp_90,0.001,4,0,2,1.0,32,0.7011,0.8717,0.9004,0.7255,0.5882,0.4312,0.27699999999999997
lambda_rbp_95,0.001,4,0,2,1.0,32,0.7183,0.8797,0.9109,0.7393,0.5989,0.4361,0.2788
lambda_rbp_80,0.01,4,0,2,1.0,32,0.6239,0.8353,0.8519,0.6651,0.54,0.4083,0.2682
