NDCG@5,NDCG,AP,RR,RBP_80,RBP_90,RBP_95
0.3836,0.6952,0.3883,0.5,0.4361,0.3867,0.3021
0.5148,0.7482,0.5701,0.5,0.5087,0.4212,0.2851
0.4704,0.7682,0.5076,1.0,0.4009,0.3098,0.2084
0.6608,0.763,0.6087,0.5,0.5421,0.4059,0.2599
0.5148,0.6948,0.495,0.5,0.413,0.2933,0.1836
0.4913,0.7422,0.5992,0.5,0.5068,0.4133,0.2678
0.4469,0.6671,0.4021,0.3333,0.3747,0.3637,0.298
0.1696,0.5778,0.2293,0.3333,0.2091,0.232,0.2143
0.3392,0.7869,0.5025,1.0,0.4299,0.4765,0.4388
0.4852,0.7555,0.4236,1.0,0.4532,0.3927,0.3191
0.3601,0.662,0.3433,0.5,0.3526,0.3258,0.2779
0.3392,0.7608,0.4077,1.0,0.3707,0.4167,0.4223
0.4913,0.6992,0.4864,0.5,0.446,0.3548,0.2372
0.4469,0.6966,0.5523,0.3333,0.455,0.3941,0.2618
0.3156,0.5988,0.3327,0.3333,0.3272,0.2705,0.1915
0.7227,0.9111,0.7494,1.0,0.582,0.3855,0.2344
0.6844,0.857,0.6154,1.0,0.6139,0.5127,0.3775
0.8688,0.9406,0.8198,1.0,0.668,0.4571,0.2786
0.214,0.618,0.3495,0.5,0.2845,0.2694,0.2071
0.3156,0.6072,0.371,0.3333,0.3061,0.2749,0.1972
0.5296,0.702,0.455,0.5,0.4421,0.3477,0.2435
0.6548,0.8342,0.5693,1.0,0.6177,0.5434,0.4181
0.6844,0.8652,0.6537,1.0,0.5709,0.3946,0.2454
0.214,0.7167,0.4429,0.5,0.3376,0.4047,0.3982
0.1312,0.5776,0.3846,0.2,0.2616,0.2818,0.2059
0.3601,0.7578,0.3802,0.5,0.3867,0.38,0.4
0.1461,0.7815,0.5782,0.25,0.3737,0.5361,0.5732
0.6992,0.8899,0.7127,1.0,0.5819,0.4239,0.2684
0.1461,0.6003,0.3985,0.25,0.2831,0.3072,0.2301
0.3601,0.6129,0.3226,0.5,0.2948,0.2454,0.1891
0.4469,0.7152,0.4618,0.3333,0.4403,0.4508,0.3822
1.0,0.981,0.9305,1.0,0.8962,0.7077,0.4698
0.6608,0.7845,0.6726,0.5,0.5747,0.4391,0.2758
0.6164,0.8016,0.5743,1.0,0.4377,0.2996,0.1849
0.786,0.9099,0.8179,1.0,0.6303,0.4317,0.2542
0.3156,0.6927,0.4183,0.3333,0.4184,0.4208,0.345
0.4704,0.8175,0.6246,1.0,0.511,0.4303,0.2902
0.4469,0.8729,0.8216,0.3333,0.6351,0.7742,0.7418
0.214,0.6098,0.3481,0.5,0.2781,0.2549,0.1888
0.6548,0.8287,0.6115,1.0,0.4529,0.305,0.1894
0.4913,0.7178,0.4688,0.5,0.4576,0.4203,0.3254
0.6164,0.8229,0.5711,1.0,0.6226,0.5383,0.3913
0.786,0.9378,0.8601,1.0,0.8162,0.8165,0.6865
0.0,0.7542,0.5183,0.1429,0.2169,0.412,0.508
0.3156,0.6447,0.4155,0.3333,0.3482,0.3348,0.2512
0.4913,0.7437,0.5538,0.5,0.5235,0.4589,0.321
0.4469,0.7027,0.5709,0.3333,0.4671,0.4023,0.2651
0.6399,0.8524,0.67,1.0,0.4926,0.337,0.203
0.3008,0.7038,0.4269,0.3333,0.4093,0.4568,0.3868
0.1312,0.5291,0.2368,0.2,0.1678,0.2032,0.1867
0.4469,0.6747,0.545,0.3333,0.4198,0.3264,0.2023
1.0,1.0,1.0,1.0,0.6723,0.4095,0.2262
0.6844,0.8517,0.6249,1.0,0.4963,0.3413,0.2174
0.1312,0.5696,0.306,0.2,0.2409,0.2736,0.2197
0.0,0.4849,0.2338,0.1111,0.0852,0.1661,0.1677
0.6608,0.7762,0.6681,0.5,0.5478,0.4004,0.2443
0.3836,0.7071,0.5132,0.5,0.4269,0.3404,0.2231
0.2773,0.565,0.3032,0.25,0.2516,0.2495,0.1938
0.3008,0.7427,0.5094,0.3333,0.4183,0.489,0.4555
0.4469,0.6824,0.4754,0.3333,0.4209,0.3917,0.2852
0.0,0.5749,0.2432,0.1429,0.1144,0.1811,0.2148
0.3452,0.6185,0.3015,0.5,0.3131,0.2784,0.2183
0.7227,0.8124,0.4916,1.0,0.5516,0.4209,0.3297
0.2773,0.6076,0.3525,0.25,0.2977,0.3084,0.2429
0.1696,0.7147,0.3767,0.3333,0.2039,0.2576,0.3187
0.2773,0.6143,0.3627,0.25,0.3175,0.3179,0.2448
0.3392,0.7506,0.4258,1.0,0.3955,0.419,0.3736
0.8539,0.9502,0.8524,1.0,0.6492,0.4285,0.2516
0.6844,0.8323,0.5279,1.0,0.5892,0.5391,0.477
0.5296,0.7325,0.5364,0.5,0.4823,0.3703,0.2464
0.786,0.8881,0.7544,1.0,0.5459,0.3626,0.2119
0.3836,0.7687,0.5112,0.5,0.5282,0.5505,0.468
0.1696,0.5388,0.2519,0.3333,0.1979,0.2028,0.1725
0.3392,0.685,0.373,1.0,0.2633,0.2193,0.1701
0.8304,0.9398,0.8417,1.0,0.6434,0.4306,0.253
0.5148,0.7371,0.439,0.5,0.5082,0.4692,0.3775
0.3452,0.6875,0.4328,0.5,0.3931,0.385,0.2998
0.4913,0.7473,0.5738,0.5,0.5273,0.4471,0.3077
0.4913,0.6757,0.4054,0.5,0.4089,0.3354,0.2483
0.1696,0.636,0.3467,0.3333,0.2897,0.3305,0.2904
0.8688,0.9182,0.7522,1.0,0.6671,0.4612,0.2919
0.214,0.7163,0.3867,0.5,0.2902,0.3699,0.3945
0.4469,0.7424,0.6347,0.3333,0.5383,0.4829,0.3279
0.0,0.4894,0.1632,0.1111,0.0388,0.0805,0.1238
0.0,0.5333,0.3079,0.1667,0.2002,0.2341,0.182
0.1696,0.6576,0.4191,0.3333,0.3446,0.3705,0.3004
0.1312,0.6501,0.3069,0.2,0.2753,0.3347,0.3143
0.4704,0.7781,0.4418,1.0,0.4371,0.4367,0.4252
0.4469,0.6677,0.4538,0.3333,0.4032,0.3599,0.2583
0.4469,0.6751,0.5176,0.3333,0.4198,0.3506,0.2286
0.5296,0.6905,0.4447,0.5,0.4301,0.3203,0.2158
0.214,0.6788,0.4356,0.5,0.3464,0.3715,0.3053
0.6992,0.8187,0.5436,1.0,0.4886,0.3462,0.2432
0.5087,0.8161,0.5883,1.0,0.488,0.3435,0.2138
1.0,0.996,0.9819,1.0,0.9924,0.9291,0.7402
0.0,0.7095,0.4705,0.1111,0.1404,0.3258,0.4308
0.214,0.6823,0.3381,0.5,0.2756,0.3374,0.3445
0.7227,0.8858,0.7061,1.0,0.5098,0.3106,0.1839
0.1461,0.6419,0.3823,0.25,0.2451,0.3284,0.3208
1.0,1.0,1.0,1.0,0.7379,0.4686,0.2649
0.2773,0.6028,0.4276,0.25,0.3195,0.2821,0.1875
0.4469,0.6807,0.5629,0.3333,0.4303,0.3317,0.2042
0.1461,0.5481,0.276,0.25,0.1932,0.232,0.2
0.6164,0.823,0.5918,1.0,0.5465,0.4866,0.3645
0.8304,0.9208,0.7867,1.0,0.6077,0.4112,0.2459
0.214,0.578,0.2663,0.5,0.1971,0.1992,0.1969
0.6992,0.8959,0.7298,1.0,0.5174,0.3408,0.2035
0.8688,0.9325,0.8006,1.0,0.6828,0.4432,0.2621
0.1696,0.5567,0.2912,0.3333,0.2376,0.2285,0.1735
0.2773,0.6138,0.4268,0.25,0.3447,0.3043,0.2065
0.8304,0.9285,0.81,1.0,0.5712,0.3673,0.2126
0.6399,0.8431,0.6331,1.0,0.5643,0.4308,0.2836
0.5087,0.7637,0.4697,1.0,0.4108,0.308,0.2133
0.4913,0.7586,0.5545,0.5,0.5372,0.4959,0.3755
1.0,1.0,1.0,1.0,0.7903,0.5217,0.3017
0.4469,0.6356,0.3685,0.3333,0.3701,0.3245,0.238
0.4852,0.7493,0.4596,1.0,0.382,0.2822,0.1903
0.3452,0.7013,0.5105,0.5,0.4195,0.3913,0.2771
0.4469,0.6745,0.513,0.3333,0.4254,0.3449,0.2243
0.5531,0.8262,0.5926,1.0,0.4096,0.2817,0.1815
0.4704,0.7541,0.4252,1.0,0.4106,0.3884,0.352
0.1461,0.5353,0.2845,0.25,0.2005,0.2221,0.1763
0.6399,0.7862,0.4985,1.0,0.4698,0.369,0.2661
0.4852,0.7064,0.3562,1.0,0.3647,0.2841,0.2198
0.3452,0.6885,0.5028,0.5,0.4082,0.3414,0.2251
0.5296,0.6913,0.464,0.5,0.42,0.3016,0.1986
0.1696,0.6844,0.3825,0.3333,0.3431,0.4124,0.3746
0.6608,0.7459,0.587,0.5,0.5071,0.3614,0.2248
0.1461,0.6167,0.4242,0.25,0.3163,0.3251,0.2367
0.1312,0.6068,0.3924,0.2,0.279,0.3301,0.2592
0.3601,0.696,0.5254,0.5,0.4139,0.3181,0.199
0.6992,0.8726,0.6674,1.0,0.5287,0.3591,0.2241
0.6399,0.8268,0.6089,1.0,0.4564,0.3111,0.1917
0.6399,0.8359,0.5408,1.0,0.6737,0.6311,0.512
0.2773,0.5959,0.3431,0.25,0.3005,0.2926,0.2212
0.214,0.5785,0.3148,0.5,0.2309,0.2114,0.1582
0.6992,0.8889,0.7133,1.0,0.5064,0.333,0.2003
0.6844,0.8671,0.655,1.0,0.5533,0.3957,0.2539
0.3392,0.7142,0.4137,1.0,0.3132,0.2733,0.2083
0.1696,0.6628,0.3348,0.3333,0.3138,0.3457,0.3233
0.6608,0.73,0.5778,0.5,0.4727,0.3147,0.1881
0.5087,0.7219,0.3859,1.0,0.367,0.2832,0.2164
0.8304,0.8543,0.6001,1.0,0.6328,0.4457,0.2931
0.6608,0.7817,0.71,0.5,0.5379,0.3686,0.2149
0.3836,0.6334,0.344,0.5,0.3401,0.2584,0.1868
0.1312,0.6596,0.3701,0.2,0.2769,0.3529,0.3398
0.4913,0.7705,0.6443,0.5,0.5663,0.487,0.3277
0.3392,0.6388,0.306,1.0,0.2195,0.1622,0.1342
0.6608,0.7969,0.7052,0.5,0.6013,0.4513,0.2798
0.3008,0.5606,0.3074,0.3333,0.2594,0.2208,0.1564
0.6992,0.8233,0.525,1.0,0.572,0.4316,0.3118
0.214,0.6486,0.3485,0.5,0.3173,0.3097,0.2679
0.3601,0.6196,0.3011,0.5,0.306,0.2581,0.2138
0.2773,0.6078,0.3464,0.25,0.2394,0.2905,0.2658
0.0,0.6549,0.4115,0.1429,0.2241,0.3624,0.3604
0.3452,0.6348,0.3053,0.5,0.3434,0.2847,0.2347
0.3452,0.7545,0.418,0.5,0.3913,0.4196,0.4166
0.8539,0.9189,0.7633,1.0,0.6905,0.4744,0.2899
0.5531,0.7304,0.3162,1.0,0.4105,0.3284,0.2974
0.6992,0.927,0.8083,1.0,0.5699,0.3698,0.214
0.5148,0.7306,0.5401,0.5,0.4798,0.3797,0.2516
0.5531,0.7896,0.4803,1.0,0.4566,0.3863,0.316
0.3392,0.8037,0.4981,1.0,0.4298,0.4912,0.505
0.2773,0.7085,0.4655,0.25,0.3771,0.4644,0.4154
0.3156,0.6221,0.3962,0.3333,0.3519,0.2861,0.1955
0.4469,0.6142,0.3162,0.3333,0.334,0.283,0.2226
0.786,0.9356,0.8522,1.0,0.8296,0.8314,0.6864
0.4469,0.7386,0.6221,0.3333,0.5329,0.476,0.3242
0.786,0.8546,0.616,1.0,0.7174,0.5733,0.3981
0.3601,0.6385,0.3609,0.5,0.3504,0.2792,0.1998
0.6992,0.9221,0.7944,1.0,0.5615,0.365,0.2122
0.5148,0.6871,0.4591,0.5,0.4253,0.3058,0.1973
0.1696,0.6615,0.3881,0.3333,0.2739,0.3497,0.3362
1.0,0.9177,0.7109,1.0,0.8552,0.7026,0.519
0.214,0.7196,0.4344,0.5,0.331,0.4155,0.4112
0.6164,0.8374,0.6605,1.0,0.5122,0.3825,0.2384
0.3392,0.7631,0.5179,1.0,0.3797,0.3162,0.2152
0.0,0.6181,0.3263,0.1667,0.2083,0.2971,0.2943
0.3008,0.6386,0.4491,0.3333,0.358,0.3205,0.218
0.7227,0.8678,0.6406,1.0,0.5741,0.4329,0.2983
0.8688,0.953,0.856,1.0,0.6927,0.4735,0.2851
0.1312,0.6086,0.4004,0.2,0.2944,0.3227,0.2477
0.3008,0.6616,0.4014,0.3333,0.3617,0.3652,0.3008
0.3392,0.6874,0.3061,1.0,0.2638,0.2769,0.2831
0.7227,0.929,0.7949,1.0,0.65,0.4533,0.278
0.5296,0.7151,0.536,0.5,0.4359,0.3067,0.1903
0.0,0.5629,0.2975,0.125,0.1215,0.2263,0.244
0.3008,0.7415,0.5693,0.3333,0.4467,0.5138,0.4335
0.4852,0.8191,0.6038,1.0,0.5292,0.4432,0.3066
0.1461,0.6473,0.3603,0.25,0.2465,0.3519,0.3374
0.8304,0.9496,0.8734,1.0,0.6623,0.4407,0.2565
0.5148,0.7784,0.6371,0.5,0.58,0.4812,0.3222
0.3156,0.6331,0.4302,0.3333,0.3437,0.3089,0.2133
0.6164,0.767,0.4517,1.0,0.5101,0.4069,0.2888
0.1696,0.5898,0.3877,0.3333,0.2828,0.2638,0.1815
0.4852,0.7989,0.5322,1.0,0.509,0.4981,0.3966
0.1696,0.563,0.2987,0.3333,0.2156,0.2358,0.1957
0.3601,0.7888,0.495,0.5,0.394,0.4943,0.545
0.4913,0.7165,0.5342,0.5,0.455,0.3825,0.2561
0.6399,0.8469,0.6387,1.0,0.6183,0.5126,0.3514
0.2773,0.7254,0.522,0.25,0.3665,0.4746,0.4455
0.2773,0.6551,0.43,0.25,0.3686,0.39,0.3008
0.5148,0.7443,0.5931,0.5,0.4946,0.3749,0.2354
0.5148,0.8048,0.6052,0.5,0.615,0.6026,0.4847
0.786,0.8543,0.6611,1.0,0.534,0.3676,0.2281
0.1312,0.5703,0.3145,0.2,0.2118,0.2698,0.2301
0.4913,0.7381,0.6079,0.5,0.4958,0.3837,0.2397
0.1696,0.8284,0.6593,0.3333,0.4491,0.6317,0.6778
0.0,0.5832,0.3509,0.1667,0.22,0.2892,0.2467
0.3836,0.7647,0.4503,0.5,0.4686,0.4887,0.4601
0.4704,0.8151,0.6185,1.0,0.5039,0.4275,0.2896
1.0,0.9628,0.8691,1.0,0.8981,0.6773,0.4393
0.1312,0.5352,0.2924,0.2,0.2032,0.2274,0.1789
0.4913,0.7128,0.4496,0.5,0.4386,0.4092,0.3298
0.6608,0.7607,0.6236,0.5,0.5231,0.3802,0.2355
0.4469,0.675,0.514,0.3333,0.4224,0.347,0.2262
0.2773,0.6874,0.4573,0.25,0.3645,0.4201,0.3647
0.3452,0.6598,0.4522,0.5,0.3582,0.2891,0.1885
0.4852,0.7909,0.5514,1.0,0.4058,0.2961,0.1887
0.786,0.8141,0.5468,1.0,0.5588,0.4024,0.2671
0.1312,0.5191,0.2879,0.2,0.2036,0.2111,0.1564
0.3008,0.6421,0.4559,0.3333,0.3685,0.3224,0.2176
0.6608,0.7521,0.5659,0.5,0.5217,0.4109,0.2775
0.0,0.5401,0.2479,0.1667,0.173,0.218,0.2008
0.6399,0.8242,0.5869,1.0,0.528,0.4055,0.2726
0.214,0.6096,0.3241,0.5,0.2986,0.2587,0.1924
0.3392,0.6779,0.3765,1.0,0.2386,0.1907,0.146
0.4469,0.7163,0.5772,0.3333,0.4924,0.4302,0.2904
