NDCG@5,NDCG,AP,RR,RBP_80,RBP_90,RBP_95
0.0,0.5975,0.3215,0.1667,0.1877,0.2883,0.2787
0.3452,0.7068,0.5174,0.5,0.434,0.3962,0.2781
0.0,0.4342,0.1657,0.125,0.0604,0.1123,0.1221
0.3452,0.6348,0.3714,0.5,0.3266,0.291,0.2113
0.1312,0.4661,0.2035,0.2,0.1259,0.1511,0.1311
0.214,0.566,0.2577,0.5,0.2349,0.2047,0.1633
0.5148,0.7347,0.4847,0.5,0.5183,0.4402,0.3219
0.0,0.5433,0.2276,0.1111,0.0725,0.1597,0.2007
0.3156,0.6185,0.2411,0.3333,0.286,0.2774,0.2472
0.7227,0.794,0.4602,1.0,0.5165,0.3833,0.3088
0.3836,0.6265,0.2819,0.5,0.3034,0.2432,0.2199
0.4469,0.7639,0.4793,0.3333,0.4703,0.5135,0.4974
0.3156,0.6164,0.365,0.3333,0.3469,0.2929,0.2051
0.5087,0.7982,0.5518,1.0,0.4442,0.3567,0.2443
0.5296,0.7359,0.5452,0.5,0.5089,0.378,0.2419
0.5531,0.8574,0.6531,1.0,0.4943,0.3598,0.2289
0.5148,0.7441,0.5068,0.5,0.4997,0.4606,0.3537
0.3156,0.5992,0.3389,0.3333,0.2901,0.2685,0.2047
0.5087,0.7728,0.4851,1.0,0.4251,0.3168,0.219
0.0,0.4992,0.2528,0.1667,0.1378,0.1914,0.166
0.3392,0.6798,0.3381,1.0,0.3089,0.246,0.1853
0.0,0.593,0.2898,0.125,0.159,0.2607,0.268
0.0,0.4791,0.2039,0.1429,0.1057,0.1585,0.1534
0.3452,0.702,0.38,0.5,0.389,0.3905,0.3545
0.214,0.5684,0.2753,0.5,0.2306,0.2042,0.1597
0.3392,0.7333,0.3123,1.0,0.2756,0.2552,0.2892
0.0,0.6951,0.4084,0.125,0.131,0.282,0.3799
0.3008,0.605,0.3638,0.3333,0.2877,0.2869,0.2181
0.2773,0.6531,0.5019,0.25,0.3842,0.3674,0.2537
0.0,0.4285,0.1493,0.1111,0.0444,0.0903,0.1137
0.1312,0.6227,0.3148,0.2,0.2556,0.3062,0.2873
0.214,0.6596,0.3764,0.5,0.3088,0.3414,0.2974
0.3392,0.7075,0.4012,1.0,0.3105,0.2671,0.2018
0.1696,0.4804,0.1994,0.3333,0.1488,0.1391,0.1197
0.0,0.4071,0.145,0.0714,0.0233,0.0785,0.105
0.3156,0.5875,0.233,0.3333,0.2627,0.2284,0.2012
0.7227,0.8759,0.6562,1.0,0.6232,0.418,0.2598
0.0,0.7706,0.6106,0.1429,0.2573,0.4864,0.5675
0.3392,0.7041,0.3954,1.0,0.3059,0.2412,0.1759
0.1461,0.5173,0.2611,0.25,0.2063,0.1964,0.1469
0.4852,0.6685,0.2858,1.0,0.3393,0.2487,0.1913
0.3008,0.7183,0.5023,0.3333,0.4784,0.4902,0.3797
0.0,0.7415,0.5943,0.1429,0.2396,0.4629,0.5219
0.1461,0.7579,0.4895,0.25,0.3133,0.4317,0.4882
0.1461,0.5643,0.3008,0.25,0.2202,0.2519,0.2112
0.1696,0.6187,0.3677,0.3333,0.2629,0.31,0.2663
0.1312,0.503,0.2155,0.2,0.1781,0.1847,0.153
0.1461,0.5475,0.3166,0.25,0.2377,0.2283,0.1652
0.6844,0.8017,0.455,1.0,0.6052,0.4872,0.3661
0.3392,0.6717,0.3258,1.0,0.28,0.2273,0.1937
0.4704,0.7962,0.58,1.0,0.4162,0.3112,0.1958
0.4469,0.6386,0.4533,0.3333,0.3631,0.2902,0.188
0.4704,0.7454,0.4598,1.0,0.3834,0.283,0.1897
0.4704,0.6697,0.3086,1.0,0.3349,0.2428,0.1742
0.3156,0.5981,0.3295,0.3333,0.3143,0.2653,0.1936
0.3392,0.7191,0.4409,1.0,0.3027,0.2655,0.1948
0.5087,0.7729,0.4971,1.0,0.3941,0.2939,0.2005
0.3392,0.7189,0.4111,1.0,0.3423,0.2786,0.2029
0.3008,0.7105,0.4302,0.3333,0.3757,0.4348,0.3997
0.3392,0.7145,0.4167,1.0,0.3139,0.3051,0.2451
0.5148,0.6844,0.3309,0.5,0.4152,0.3559,0.3006
0.214,0.6167,0.3081,0.5,0.284,0.2728,0.2265
0.3452,0.6804,0.3748,0.5,0.3897,0.3753,0.3089
0.1696,0.5213,0.2061,0.3333,0.1648,0.1682,0.1601
0.3008,0.7092,0.3359,0.3333,0.2952,0.2931,0.3199
0.3392,0.7208,0.4006,1.0,0.3653,0.3096,0.2341
0.3452,0.6537,0.2953,0.5,0.3338,0.3262,0.2831
0.0,0.457,0.1786,0.1667,0.1091,0.1393,0.1293
0.4469,0.6966,0.3795,0.3333,0.3342,0.3297,0.3426
0.1312,0.5267,0.2614,0.2,0.1771,0.2125,0.182
0.1312,0.4668,0.2057,0.2,0.1251,0.1536,0.1323
0.5531,0.8135,0.5285,1.0,0.4749,0.4614,0.4401
0.2773,0.6178,0.4113,0.25,0.3222,0.3187,0.2323
0.3452,0.6226,0.3583,0.5,0.3192,0.2618,0.1849
0.6992,0.8915,0.7179,1.0,0.5805,0.3782,0.225
0.1312,0.5936,0.2742,0.2,0.1461,0.221,0.2567
0.1312,0.6133,0.3653,0.2,0.2659,0.3277,0.2769
0.1461,0.5023,0.1892,0.25,0.1525,0.1584,0.1499
0.0,0.47,0.1715,0.1429,0.0733,0.1265,0.1414
0.0,0.4829,0.1684,0.0714,0.0169,0.0726,0.13
0.4913,0.741,0.5748,0.5,0.5063,0.4267,0.2879
0.6399,0.8088,0.4709,1.0,0.5776,0.5261,0.469
0.0,0.5004,0.2174,0.125,0.0963,0.1659,0.1747
0.1696,0.6505,0.3702,0.3333,0.3045,0.3568,0.3132
0.6399,0.791,0.527,1.0,0.4301,0.3056,0.2034
0.214,0.6027,0.2785,0.5,0.2584,0.2439,0.215
0.1696,0.6975,0.3816,0.3333,0.3625,0.417,0.3853
0.5531,0.742,0.3334,1.0,0.4364,0.3562,0.3209
0.3836,0.6549,0.3682,0.5,0.374,0.2964,0.2143
0.3452,0.6039,0.3232,0.5,0.3094,0.2338,0.1657
0.6608,0.7515,0.5799,0.5,0.5185,0.3917,0.2546
0.3008,0.6059,0.3045,0.3333,0.2864,0.2863,0.2387
0.8688,0.9047,0.72,1.0,0.6595,0.4461,0.2776
0.4852,0.7283,0.4213,1.0,0.366,0.2571,0.1728
0.1461,0.7681,0.6198,0.25,0.3512,0.5271,0.5482
0.1461,0.6895,0.3888,0.25,0.1848,0.2948,0.3686
0.4704,0.7251,0.3563,1.0,0.3242,0.3095,0.3195
0.6608,0.7817,0.71,0.5,0.5379,0.3686,0.2149
0.4704,0.758,0.4574,1.0,0.4081,0.4092,0.3461
0.2773,0.5737,0.3427,0.25,0.2747,0.263,0.1892
0.4852,0.7206,0.4221,1.0,0.3157,0.2188,0.1517
0.3392,0.6976,0.3928,1.0,0.28,0.2075,0.1493
0.3156,0.6302,0.3839,0.3333,0.3341,0.3169,0.2378
0.214,0.6462,0.341,0.5,0.3248,0.311,0.2629
0.0,0.5195,0.2804,0.1667,0.1802,0.2175,0.1736
0.6844,0.7452,0.3928,1.0,0.4528,0.2958,0.2052
0.214,0.5667,0.295,0.5,0.2192,0.1982,0.1506
0.3008,0.6225,0.3937,0.3333,0.3314,0.3106,0.224
0.4852,0.7962,0.565,1.0,0.4374,0.3409,0.2231
0.5531,0.8208,0.5629,1.0,0.4495,0.3078,0.202
0.3601,0.6807,0.4857,0.5,0.3914,0.3005,0.1915
1.0,0.9506,0.84,1.0,0.7369,0.5011,0.3064
0.5148,0.7326,0.5436,0.5,0.495,0.3772,0.247
0.8304,0.8205,0.5133,1.0,0.5838,0.4339,0.3176
0.0,0.4428,0.1606,0.125,0.0621,0.1113,0.1251
0.3156,0.6128,0.34,0.3333,0.2929,0.2901,0.235
0.1312,0.4888,0.2123,0.2,0.1599,0.1673,0.1422
0.5296,0.6898,0.4282,0.5,0.4323,0.3301,0.2309
0.1696,0.5365,0.2535,0.3333,0.2238,0.2008,0.1557
0.3452,0.5606,0.2725,0.5,0.2449,0.179,0.131
0.214,0.6458,0.2951,0.5,0.3033,0.3125,0.2752
0.0,0.4033,0.1426,0.0667,0.0191,0.0728,0.1021
0.3156,0.6704,0.4509,0.3333,0.4115,0.3813,0.2746
0.5296,0.7384,0.506,0.5,0.5284,0.4245,0.2952
0.4913,0.6881,0.4796,0.5,0.4092,0.327,0.2167
0.786,0.8847,0.7417,1.0,0.5867,0.4014,0.2418
0.3156,0.6779,0.3613,0.3333,0.3377,0.3415,0.332
0.3392,0.7329,0.4523,1.0,0.3339,0.2775,0.1974
0.1312,0.4779,0.1934,0.2,0.1128,0.1475,0.1455
0.8539,0.9263,0.776,1.0,0.7028,0.514,0.3313
0.1312,0.5004,0.2478,0.2,0.1843,0.1864,0.1433
0.1696,0.4993,0.214,0.3333,0.1519,0.156,0.1406
0.3008,0.5626,0.3121,0.3333,0.2541,0.2235,0.1604
0.0,0.6899,0.4274,0.1429,0.1794,0.3286,0.397
0.1312,0.4821,0.1784,0.2,0.1391,0.1482,0.1378
0.0,0.4196,0.1621,0.1111,0.0594,0.1097,0.1127
0.214,0.5585,0.2808,0.5,0.2085,0.1877,0.146
0.0,0.516,0.2691,0.1429,0.1423,0.2075,0.1856
0.3601,0.6227,0.3378,0.5,0.3113,0.2618,0.1957
0.1312,0.6653,0.3668,0.2,0.2896,0.3571,0.3472
0.6608,0.7739,0.6862,0.5,0.5247,0.3627,0.213
0.4852,0.7397,0.4267,1.0,0.393,0.3253,0.2436
0.6992,0.83,0.5485,1.0,0.5744,0.416,0.2815
0.6164,0.8503,0.6962,1.0,0.5023,0.3507,0.209
0.1461,0.497,0.2098,0.25,0.1407,0.1668,0.154
0.1312,0.6127,0.2972,0.2,0.1729,0.2407,0.2723
0.4704,0.7642,0.4903,1.0,0.4133,0.3681,0.2756
0.4469,0.6291,0.4088,0.3333,0.3669,0.2895,0.1954
0.214,0.6009,0.3082,0.5,0.2845,0.2459,0.1864
0.3392,0.7345,0.4727,1.0,0.3142,0.2571,0.1765
0.3392,0.6505,0.2748,1.0,0.2693,0.2297,0.1944
0.1696,0.5845,0.2697,0.3333,0.2312,0.2426,0.223
0.3156,0.6562,0.3991,0.3333,0.4036,0.3586,0.2648
0.4913,0.6743,0.3817,0.5,0.4032,0.3496,0.268
0.3836,0.6445,0.2853,0.5,0.3295,0.2672,0.2405
0.3392,0.7065,0.3646,1.0,0.3268,0.3095,0.267
0.6992,0.7462,0.3163,1.0,0.4752,0.3358,0.2995
0.6992,0.8753,0.6667,1.0,0.5832,0.4335,0.2855
0.1312,0.6231,0.2744,0.2,0.1031,0.1745,0.2485
0.6399,0.7979,0.5488,1.0,0.4188,0.2781,0.176
0.6164,0.7761,0.5028,1.0,0.4548,0.3262,0.2192
0.6844,0.8397,0.5781,1.0,0.5636,0.475,0.3638
0.6399,0.847,0.6112,1.0,0.5126,0.5219,0.5634
0.7227,0.8096,0.4796,1.0,0.553,0.4506,0.3799
0.5148,0.7056,0.4973,0.5,0.4376,0.3278,0.2133
0.1312,0.5437,0.2557,0.2,0.1608,0.2196,0.208
0.3392,0.7809,0.538,1.0,0.2994,0.3943,0.4568
0.3008,0.6186,0.3495,0.3333,0.3477,0.3175,0.2307
0.3008,0.6777,0.414,0.3333,0.3528,0.3851,0.3386
0.5087,0.8435,0.6526,1.0,0.5352,0.4123,0.2657
0.0,0.4451,0.1849,0.1429,0.104,0.1381,0.1222
0.3392,0.6763,0.357,1.0,0.2578,0.2088,0.1625
0.3008,0.6626,0.3657,0.3333,0.3247,0.3525,0.3219
0.4852,0.729,0.3848,1.0,0.3372,0.3154,0.3224
0.1461,0.6075,0.2608,0.25,0.1541,0.1897,0.2306
0.1696,0.5749,0.3288,0.3333,0.2548,0.2514,0.1884
0.0,0.4306,0.1635,0.125,0.055,0.1053,0.1197
0.0,0.5342,0.2173,0.0833,0.0375,0.1254,0.1867
0.3008,0.5308,0.2466,0.3333,0.2161,0.1849,0.1489
0.2773,0.6295,0.3965,0.25,0.3717,0.3454,0.2483
0.1696,0.55,0.2681,0.3333,0.2222,0.2235,0.1788
0.3601,0.6203,0.3223,0.5,0.3074,0.2626,0.2039
0.0,0.5965,0.3496,0.1429,0.2038,0.3078,0.2772
0.4852,0.7209,0.3393,1.0,0.3788,0.3464,0.3138
0.6164,0.7946,0.5472,1.0,0.477,0.3624,0.2369
0.3452,0.6031,0.3415,0.5,0.2757,0.2287,0.1626
0.3452,0.5954,0.2533,0.5,0.2625,0.2273,0.2004
0.5531,0.803,0.4972,1.0,0.5096,0.4533,0.3652
0.5296,0.7062,0.4508,0.5,0.451,0.3629,0.261
0.3452,0.7178,0.444,0.5,0.4004,0.4462,0.3914
0.3392,0.7796,0.5529,1.0,0.4106,0.3345,0.222
0.3452,0.6883,0.4532,0.5,0.4168,0.3794,0.2734
0.6992,0.894,0.7202,1.0,0.5589,0.3862,0.2371
0.0,0.4697,0.1604,0.0714,0.0249,0.0833,0.1277
0.5296,0.7051,0.5167,0.5,0.4327,0.2964,0.1817
0.3601,0.7254,0.4773,0.5,0.4093,0.4366,0.381
0.5296,0.6922,0.4475,0.5,0.4321,0.3193,0.2166
