NDCG@5,NDCG,AP,RR,RBP_80,RBP_90,RBP_95
0.6548,0.8785,0.7007,1.0,0.6797,0.5934,0.4351
0.8688,0.9671,0.8951,1.0,0.7583,0.5326,0.3238
1.0,0.9717,0.9103,1.0,0.6861,0.4378,0.2532
1.0,1.0,1.0,1.0,0.7903,0.5217,0.3017
0.4913,0.7101,0.5533,0.5,0.4367,0.3263,0.2013
0.8688,0.9703,0.9038,1.0,0.7298,0.491,0.2909
1.0,0.9804,0.924,1.0,0.8902,0.6764,0.4398
0.5531,0.8473,0.5936,1.0,0.5888,0.5238,0.4157
0.786,0.9279,0.823,1.0,0.8206,0.7853,0.6203
1.0,0.9921,0.9661,1.0,0.9518,0.7746,0.5255
0.8688,0.9306,0.7721,1.0,0.784,0.6259,0.4445
0.8688,0.9492,0.8162,1.0,0.8887,0.8516,0.7329
0.7227,0.9326,0.8083,1.0,0.6559,0.4597,0.2809
0.8539,0.9471,0.8429,1.0,0.6858,0.4725,0.285
0.8688,0.9615,0.8766,1.0,0.711,0.4809,0.2873
0.8304,0.9442,0.8556,1.0,0.6518,0.4354,0.2547
0.6548,0.8692,0.6774,1.0,0.6524,0.5617,0.4087
0.7227,0.9375,0.8211,1.0,0.6664,0.465,0.2828
1.0,0.9815,0.9367,1.0,0.7516,0.5014,0.2945
0.8688,0.9673,0.8965,1.0,0.6774,0.4378,0.2541
1.0,1.0,1.0,1.0,0.8322,0.5695,0.3366
1.0,0.9879,0.9491,1.0,0.9524,0.8011,0.5644
0.6548,0.8864,0.7497,1.0,0.6172,0.4527,0.2799
0.8304,0.9513,0.8651,1.0,0.8554,0.8013,0.6241
0.3836,0.6702,0.4322,0.5,0.3654,0.2951,0.2039
1.0,0.9331,0.7295,1.0,0.8936,0.8368,0.7697
1.0,0.9758,0.9011,1.0,0.9608,0.8993,0.7875
0.8688,0.9591,0.869,1.0,0.7089,0.4762,0.2848
1.0,0.9911,0.9683,1.0,0.7714,0.5116,0.2981
0.6608,0.7524,0.585,0.5,0.5142,0.3946,0.2573
1.0,0.9477,0.8067,1.0,0.8748,0.704,0.5059
1.0,0.9878,0.9542,1.0,0.9119,0.7209,0.4761
0.5296,0.7709,0.6369,0.5,0.5486,0.4252,0.2707
0.8688,0.9818,0.9429,1.0,0.6428,0.397,0.2222
1.0,0.9697,0.9048,1.0,0.6833,0.4349,0.2519
0.8688,0.9049,0.6988,1.0,0.7383,0.6008,0.4503
1.0,1.0,1.0,1.0,0.8322,0.5695,0.3366
1.0,0.9866,0.9458,1.0,0.9751,0.9281,0.8049
0.6844,0.8764,0.6833,1.0,0.5322,0.3729,0.2322
0.8688,0.9896,0.9667,1.0,0.6559,0.4029,0.2242
0.6548,0.828,0.578,1.0,0.5556,0.4711,0.3535
0.8688,0.9449,0.8254,1.0,0.81,0.6815,0.4874
1.0,1.0,1.0,1.0,0.9976,0.9419,0.7497
0.8539,0.9341,0.7798,1.0,0.8084,0.7773,0.7297
0.8539,0.9383,0.8125,1.0,0.7034,0.4977,0.3098
0.8304,0.9324,0.8244,1.0,0.7377,0.5775,0.3758
0.6992,0.886,0.7008,1.0,0.5757,0.4179,0.2656
0.6844,0.9073,0.7644,1.0,0.541,0.3577,0.2101
0.8688,0.9363,0.7821,1.0,0.8356,0.7198,0.5492
0.6992,0.885,0.6867,1.0,0.622,0.474,0.3166
0.8539,0.9747,0.9267,1.0,0.6355,0.3957,0.222
1.0,1.0,1.0,1.0,0.6723,0.4095,0.2262
0.6844,0.8969,0.737,1.0,0.5679,0.3964,0.2416
0.7227,0.9135,0.746,1.0,0.6784,0.5,0.325
0.8688,0.9497,0.8431,1.0,0.6918,0.4655,0.2803
0.8688,0.9537,0.8593,1.0,0.6508,0.4257,0.2502
0.786,0.9002,0.7861,1.0,0.6114,0.4216,0.2506
0.8304,0.9095,0.7556,1.0,0.6219,0.4417,0.2742
1.0,0.9361,0.7679,1.0,0.8691,0.7349,0.5735
1.0,0.979,0.9253,1.0,0.8154,0.5817,0.358
1.0,0.9228,0.7335,1.0,0.8203,0.6834,0.521
1.0,0.9622,0.8675,1.0,0.8162,0.5842,0.3697
1.0,0.9792,0.9166,1.0,0.9217,0.7435,0.5101
0.8304,0.894,0.7079,1.0,0.6399,0.484,0.3207
1.0,0.9366,0.7519,1.0,0.8922,0.8273,0.7482
0.6399,0.8518,0.6551,1.0,0.5879,0.4705,0.3171
1.0,0.9585,0.8368,1.0,0.9259,0.7722,0.5662
0.8539,0.934,0.8079,1.0,0.6269,0.4064,0.241
0.8688,0.9019,0.6939,1.0,0.7277,0.6593,0.5804
0.8304,0.8948,0.7144,1.0,0.5977,0.4199,0.2643
0.6992,0.9331,0.8262,1.0,0.5804,0.3751,0.2158
1.0,0.98,0.9163,1.0,0.9608,0.8539,0.6528
1.0,0.9739,0.9123,1.0,0.7357,0.4922,0.2911
0.8688,0.9671,0.8968,1.0,0.6764,0.4401,0.2554
0.7227,0.9489,0.8552,1.0,0.6479,0.431,0.253
1.0,0.9794,0.9187,1.0,0.9384,0.8079,0.5915
1.0,0.9661,0.877,1.0,0.8388,0.6215,0.4019
1.0,0.9818,0.9377,1.0,0.8217,0.5884,0.361
0.8688,0.9382,0.8022,1.0,0.732,0.5206,0.3318
0.8304,0.8998,0.7185,1.0,0.6984,0.5915,0.4345
0.7227,0.9347,0.8122,1.0,0.6919,0.5011,0.3129
1.0,0.9858,0.9325,1.0,0.9969,0.9507,0.7951
0.5296,0.772,0.6134,0.5,0.5529,0.4668,0.3187
1.0,0.9498,0.8211,1.0,0.8537,0.6827,0.4777
0.8688,0.9784,0.9306,1.0,0.6979,0.4508,0.2591
0.6399,0.8841,0.7464,1.0,0.6711,0.5701,0.3899
0.6844,0.9174,0.775,1.0,0.7483,0.7474,0.6277
0.6844,0.8477,0.564,1.0,0.6014,0.5489,0.5094
0.6548,0.8918,0.7657,1.0,0.6507,0.4957,0.313
0.6992,0.8978,0.7285,1.0,0.5666,0.3882,0.2374
1.0,1.0,1.0,1.0,0.7903,0.5217,0.3017
0.7227,0.9112,0.7391,1.0,0.6981,0.5496,0.376
0.8539,0.956,0.8701,1.0,0.7378,0.5253,0.3216
0.7227,0.9322,0.8105,1.0,0.6159,0.415,0.2475
1.0,1.0,1.0,1.0,0.9976,0.9419,0.7497
0.8688,0.9288,0.7423,1.0,0.8558,0.7745,0.658
0.6399,0.8278,0.5527,1.0,0.5431,0.5223,0.4882
0.8304,0.9512,0.8767,1.0,0.6099,0.3876,0.2198
0.8304,0.9304,0.7971,1.0,0.8034,0.672,0.4773
1.0,1.0,1.0,1.0,0.7379,0.4686,0.2649
0.7227,0.9456,0.8444,1.0,0.5871,0.3731,0.2145
0.6164,0.8442,0.6783,1.0,0.4918,0.3454,0.2072
0.6164,0.837,0.6519,1.0,0.5475,0.4456,0.2954
0.6164,0.871,0.7301,1.0,0.6522,0.5813,0.4098
1.0,1.0,1.0,1.0,0.7379,0.4686,0.2649
1.0,0.9628,0.8715,1.0,0.8045,0.5912,0.3767
0.8304,0.9512,0.8767,1.0,0.6099,0.3876,0.2198
0.8539,0.9433,0.832,1.0,0.6902,0.461,0.2767
0.8304,0.9398,0.8417,1.0,0.6434,0.4306,0.253
0.4469,0.6657,0.4932,0.3333,0.4034,0.3389,0.2239
0.6992,0.9331,0.8262,1.0,0.5804,0.3751,0.2158
0.8688,0.9521,0.851,1.0,0.7247,0.5137,0.3169
0.786,0.8824,0.7306,1.0,0.6088,0.4428,0.2754
1.0,0.984,0.9377,1.0,0.9127,0.7116,0.4689
0.8304,0.9453,0.8598,1.0,0.6958,0.4837,0.2897
0.7227,0.8768,0.6523,1.0,0.6085,0.4438,0.2984
0.6399,0.8455,0.6481,1.0,0.5178,0.3716,0.2321
0.6548,0.8918,0.7657,1.0,0.6507,0.4957,0.313
0.6399,0.8426,0.6416,1.0,0.5107,0.3688,0.2315
0.4852,0.8261,0.6393,1.0,0.4623,0.3329,0.2032
1.0,0.9652,0.8606,1.0,0.9434,0.7808,0.5592
