loss_type: rbp_80, lr: 3.0, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.8113, AP = 0.6658, RR = 0.7048, RBP_80 = 0.5362, RBP_90 = 0.4142, RBP_95 = 0.272, 
loss_type: rbp_80, lr: 10.0, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.823, AP = 0.6473, RR = 0.8296, RBP_80 = 0.5257, RBP_90 = 0.4018, RBP_95 = 0.266, 
loss_type: rbp_90, lr: 0.001, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.9164, AP = 0.801, RR = 0.9566, RBP_80 = 0.6463, RBP_90 = 0.4556, RBP_95 = 0.2853, 
loss_type: rbp_90, lr: 0.01, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.9165, AP = 0.8013, RR = 0.9567, RBP_80 = 0.6466, RBP_90 = 0.4558, RBP_95 = 0.2854, 
loss_type: rbp_90, lr: 0.1, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.9167, AP = 0.801, RR = 0.9581, RBP_80 = 0.6467, RBP_90 = 0.4558, RBP_95 = 0.2854, 
loss_type: rbp_90, lr: 1.0, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.8653, AP = 0.7252, RR = 0.8617, RBP_80 = 0.5877, RBP_90 = 0.4324, RBP_95 = 0.2776, 
loss_type: rbp_90, lr: 3.0, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.8113, AP = 0.6658, RR = 0.7048, RBP_80 = 0.5362, RBP_90 = 0.4142, RBP_95 = 0.272, 
loss_type: rbp_90, lr: 10.0, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.823, AP = 0.6473, RR = 0.8296, RBP_80 = 0.5257, RBP_90 = 0.4018, RBP_95 = 0.266, 
loss_type: rbp_95, lr: 0.001, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.9164, AP = 0.801, RR = 0.9565, RBP_80 = 0.6463, RBP_90 = 0.4556, RBP_95 = 0.2853, 
loss_type: rbp_95, lr: 0.01, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.9165, AP = 0.8013, RR = 0.9567, RBP_80 = 0.6466, RBP_90 = 0.4558, RBP_95 = 0.2854, 
loss_type: rbp_95, lr: 0.1, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.9167, AP = 0.801, RR = 0.9581, RBP_80 = 0.6467, RBP_90 = 0.4558, RBP_95 = 0.2854, 
loss_type: rbp_95, lr: 1.0, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.8653, AP = 0.7252, RR = 0.8617, RBP_80 = 0.5877, RBP_90 = 0.4324, RBP_95 = 0.2776, 
loss_type: rbp_95, lr: 3.0, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.8112, AP = 0.6658, RR = 0.7047, RBP_80 = 0.5362, RBP_90 = 0.4142, RBP_95 = 0.272, 
loss_type: rbp_95, lr: 10.0, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.823, AP = 0.6473, RR = 0.8296, RBP_80 = 0.5257, RBP_90 = 0.4018, RBP_95 = 0.266, 
loss_type: ndcg_5, lr: 0.001, frac: 2.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.6692, AP = 0.4253, RR = 0.5633, RBP_80 = 0.3299, RBP_90 = 0.2923, RBP_95 = 0.2186, 
loss_type: ndcg_5, lr: 0.01, frac: 2.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.6843, AP = 0.4403, RR = 0.6083, RBP_80 = 0.3455, RBP_90 = 0.2984, RBP_95 = 0.2206, 
loss_type: ndcg_5, lr: 0.1, frac: 2.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.8708, AP = 0.7068, RR = 0.928, RBP_80 = 0.5822, RBP_90 = 0.4135, RBP_95 = 0.2657, 
loss_type: ndcg_5, lr: 1.0, frac: 2.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.8709, AP = 0.7071, RR = 0.9278, RBP_80 = 0.5823, RBP_90 = 0.4136, RBP_95 = 0.2657, 
loss_type: ndcg_5, lr: 3.0, frac: 2.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.8709, AP = 0.707, RR = 0.9278, RBP_80 = 0.5823, RBP_90 = 0.4136, RBP_95 = 0.2657, 
loss_type: ndcg_5, lr: 10.0, frac: 2.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.8703, AP = 0.7057, RR = 0.9278, RBP_80 = 0.5816, RBP_90 = 0.4132, RBP_95 = 0.2655, 
loss_type: dcg, lr: 0.001, frac: 2.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.6692, AP = 0.4253, RR = 0.5633, RBP_80 = 0.3299, RBP_90 = 0.2922, RBP_95 = 0.2186, 
loss_type: dcg, lr: 0.01, frac: 2.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.6843, AP = 0.4403, RR = 0.6083, RBP_80 = 0.3455, RBP_90 = 0.2984, RBP_95 = 0.2206, 
loss_type: dcg, lr: 0.1, frac: 2.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.8709, AP = 0.707, RR = 0.928, RBP_80 = 0.5821, RBP_90 = 0.4136, RBP_95 = 0.2657, 
loss_type: dcg, lr: 1.0, frac: 2.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.8709, AP = 0.7071, RR = 0.9278, RBP_80 = 0.5823, RBP_90 = 0.4136, RBP_95 = 0.2657, 
loss_type: dcg, lr: 3.0, frac: 2.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.8709, AP = 0.7071, RR = 0.9278, RBP_80 = 0.582, RBP_90 = 0.4136, RBP_95 = 0.2658, 
loss_type: dcg, lr: 10.0, frac: 2.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.8703, AP = 0.7057, RR = 0.9278, RBP_80 = 0.5816, RBP_90 = 0.4132, RBP_95 = 0.2655, 
loss_type: ap, lr: 0.001, frac: 2.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.6702, AP = 0.4263, RR = 0.5667, RBP_80 = 0.3313, RBP_90 = 0.293, RBP_95 = 0.2189, 
loss_type: ap, lr: 0.01, frac: 2.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.7719, AP = 0.5548, RR = 0.7924, RBP_80 = 0.4566, RBP_90 = 0.3536, RBP_95 = 0.2433, 
loss_type: ap, lr: 0.1, frac: 2.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.8698, AP = 0.7058, RR = 0.9252, RBP_80 = 0.581, RBP_90 = 0.4135, RBP_95 = 0.2659, 
loss_type: ap, lr: 1.0, frac: 2.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.8697, AP = 0.7058, RR = 0.9246, RBP_80 = 0.581, RBP_90 = 0.4135, RBP_95 = 0.2659, 
loss_type: ap, lr: 3.0, frac: 2.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.8696, AP = 0.7056, RR = 0.9247, RBP_80 = 0.5808, RBP_90 = 0.4135, RBP_95 = 0.2659, 
loss_type: ap, lr: 10.0, frac: 2.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.8688, AP = 0.7035, RR = 0.925, RBP_80 = 0.5797, RBP_90 = 0.4127, RBP_95 = 0.2655, 
