loss_type,lr,threshold,reg,fold,frac,emb_size,NDCG@5,NDCG,RR,AP,RBP_80,RBP_90,RBP_95
ndcg_5,0.1,4,0,0,2.0,32,0.7366,0.8713,0.9286,0.7078,0.5825,0.4138,0.2658
dcg,0.001,4,0,0,2.0,32,0.3364,0.6684,0.5589,0.4249,0.3294,0.292,0.2185
ndcg_5,0.001,4,0,0,2.0,32,0.3364,0.6683,0.5586,0.4249,0.3295,0.292,0.2185
ndcg_5,1.0,4,0,0,2.0,32,0.7366,0.8713,0.9284,0.7078,0.5826,0.4139,0.2659
dcg,3.0,4,0,0,2.0,32,0.7363,0.8713,0.9283,0.7078,0.5826,0.4139,0.2659
ndcg_5,3.0,4,0,0,2.0,32,0.7363,0.8713,0.9283,0.7078,0.5826,0.4139,0.2659
dcg,10.0,4,0,0,2.0,32,0.7357,0.8708,0.9288,0.7067,0.5820000000000001,0.4134,0.2656
ndcg_5,10.0,4,0,0,2.0,32,0.7357,0.8708,0.9288,0.7067,0.5820000000000001,0.4134,0.2656
rbp_80,0.001,4,0,0,2.0,32,0.7417,0.871,0.9266,0.7091,0.5846,0.4137,0.2654
rbp_90,0.001,4,0,0,2.0,32,0.7417,0.8709,0.9263,0.7090000000000001,0.5846,0.4137,0.2654
rbp_95,0.001,4,0,0,2.0,32,0.7417,0.8709,0.9263,0.7090000000000001,0.5846,0.4137,0.2654
rbp_80,0.01,4,0,0,2.0,32,0.7431,0.8714,0.927,0.7099,0.5854,0.4142,0.2656
rbp_90,0.01,4,0,0,2.0,32,0.7431,0.8714,0.927,0.7099,0.5854,0.4142,0.2656
rbp_95,0.01,4,0,0,2.0,32,0.7431,0.8714,0.927,0.7099,0.5854,0.4142,0.2656
rbp_80,0.1,4,0,0,2.0,32,0.7435,0.8714,0.9267,0.71,0.5859,0.4144,0.2657
rbp_90,0.1,4,0,0,2.0,32,0.7435,0.8714,0.9267,0.71,0.5859,0.4144,0.2657
rbp_95,0.1,4,0,0,2.0,32,0.7435,0.8714,0.9267,0.71,0.5859,0.4144,0.2657
rbp_80,1.0,4,0,0,2.0,32,0.5344,0.7698,0.73,0.5685,0.466,0.3639,0.2483
rbp_90,1.0,4,0,0,2.0,32,0.5344,0.7698,0.73,0.5685,0.466,0.3639,0.2483
rbp_95,1.0,4,0,0,2.0,32,0.5344,0.7698,0.73,0.5685,0.466,0.3639,0.2483
rbp_80,3.0,4,0,0,2.0,32,0.5389,0.7682,0.6882,0.5753,0.4708,0.368,0.2501
rbp_90,3.0,4,0,0,2.0,32,0.5383,0.768,0.6872,0.5752,0.4707,0.3682,0.2502
rbp_95,3.0,4,0,0,2.0,32,0.5383,0.768,0.6872,0.5752,0.4707,0.3682,0.2502
rbp_80,10.0,4,0,0,2.0,32,0.4609,0.7285,0.72,0.49,0.4001,0.3219,0.2293
rbp_90,10.0,4,0,0,2.0,32,0.4609,0.7285,0.72,0.49,0.4001,0.3219,0.2293
rbp_95,10.0,4,0,0,2.0,32,0.4609,0.7285,0.72,0.49,0.4001,0.3219,0.2293
dcg,0.001,4,0,0,5.0,32,0.168,0.5274,0.3643,0.2367,0.1674,0.1638,0.1448
ndcg_5,0.001,4,0,0,5.0,32,0.168,0.5273,0.3644,0.2366,0.1673,0.1638,0.1448
dcg,0.01,4,0,0,5.0,32,0.1953,0.5432,0.4123,0.2508,0.1848,0.1724,0.1482
ndcg_5,0.01,4,0,0,5.0,32,0.1953,0.5432,0.4123,0.2508,0.1848,0.1724,0.1482
dcg,0.1,4,0,0,5.0,32,0.6374,0.7967,0.8709,0.5757,0.4982,0.3497,0.2288
ndcg_5,0.1,4,0,0,5.0,32,0.6374,0.7967,0.8709,0.5757,0.4982,0.3497,0.2288
dcg,3.0,4,0,0,5.0,32,0.6399,0.7978,0.8723,0.5777,0.5002,0.3509,0.2294
ndcg_5,3.0,4,0,0,5.0,32,0.6399,0.7978,0.8723,0.5777,0.5002,0.3509,0.2294
ndcg_5,1.0,4,0,0,5.0,32,0.6402,0.7979,0.8722,0.5779,0.5003,0.3509,0.2294
dcg,10.0,4,0,0,5.0,32,0.6387,0.7973,0.871,0.5769,0.4996,0.3506,0.2293
ndcg_5,10.0,4,0,0,5.0,32,0.6387,0.7973,0.871,0.5769,0.4996,0.3506,0.2293
rbp_80,0.001,4,0,0,5.0,32,0.6372,0.7951,0.8646,0.5760000000000001,0.5003,0.3512,0.22899999999999998
rbp_90,0.001,4,0,0,5.0,32,0.6368,0.7952,0.8653,0.5759,0.5002,0.3513,0.2292
rbp_95,0.001,4,0,0,5.0,32,0.6366,0.7951,0.8649,0.5759,0.5001,0.3512,0.2292
rbp_80,0.01,4,0,0,5.0,32,0.6389,0.7963,0.8669,0.5777,0.5016,0.35200000000000004,0.2295
rbp_90,0.01,4,0,0,5.0,32,0.6389,0.7963,0.8669,0.5777,0.5016,0.35200000000000004,0.2295
rbp_95,0.01,4,0,0,5.0,32,0.6391,0.7964,0.8675,0.5778,0.5015,0.35200000000000004,0.2295
rbp_80,0.1,4,0,0,5.0,32,0.6205,0.7858,0.8418,0.5642,0.4903,0.3466,0.2273
rbp_90,0.1,4,0,0,5.0,32,0.6205,0.7858,0.8418,0.5642,0.4903,0.3466,0.2273
rbp_95,0.1,4,0,0,5.0,32,0.6205,0.7858,0.8418,0.5642,0.4903,0.3466,0.2273
rbp_80,1.0,4,0,0,5.0,32,0.2395,0.5887,0.3772,0.3298,0.2574,0.2386,0.1861
rbp_90,1.0,4,0,0,5.0,32,0.2395,0.5887,0.3772,0.3298,0.2574,0.2386,0.1861
rbp_95,1.0,4,0,0,5.0,32,0.2393,0.5886,0.3767,0.3297,0.2572,0.2386,0.1861
rbp_80,3.0,4,0,0,5.0,32,0.3556,0.6292,0.6161,0.3428,0.2932,0.23,0.1734
rbp_90,3.0,4,0,0,5.0,32,0.3556,0.6292,0.6161,0.3428,0.2932,0.23,0.1734
rbp_95,3.0,4,0,0,5.0,32,0.3556,0.6292,0.6161,0.3428,0.2932,0.23,0.1734
rbp_80,10.0,4,0,0,5.0,32,0.3065,0.6031,0.5406,0.316,0.2672,0.2192,0.1688
rbp_90,10.0,4,0,0,5.0,32,0.3065,0.6031,0.5406,0.3159,0.2672,0.2192,0.1689
