loss_type: rbp_80, lr: 3.0, frac: 1.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.8271, AP = 0.6859, RR = 0.743, RBP_80 = 0.551, RBP_90 = 0.4162, RBP_95 = 0.2693, 
loss_type: rbp_80, lr: 10.0, frac: 1.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.819, AP = 0.6477, RR = 0.81, RBP_80 = 0.5216, RBP_90 = 0.3987, RBP_95 = 0.2623, 
loss_type: rbp_90, lr: 0.001, frac: 1.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.8949, AP = 0.7662, RR = 0.9265, RBP_80 = 0.6155, RBP_90 = 0.4394, RBP_95 = 0.2765, 
loss_type: rbp_90, lr: 0.01, frac: 1.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.898, AP = 0.767, RR = 0.9386, RBP_80 = 0.617, RBP_90 = 0.4373, RBP_95 = 0.2752, 
loss_type: rbp_90, lr: 0.1, frac: 1.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.9027, AP = 0.7737, RR = 0.9476, RBP_80 = 0.6221, RBP_90 = 0.4397, RBP_95 = 0.276, 
loss_type: rbp_90, lr: 1.0, frac: 1.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.865, AP = 0.7282, RR = 0.8551, RBP_80 = 0.5864, RBP_90 = 0.4287, RBP_95 = 0.2732, 
loss_type: rbp_90, lr: 3.0, frac: 1.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.8271, AP = 0.6859, RR = 0.743, RBP_80 = 0.551, RBP_90 = 0.4162, RBP_95 = 0.2693, 
loss_type: rbp_90, lr: 10.0, frac: 1.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.819, AP = 0.6477, RR = 0.81, RBP_80 = 0.5216, RBP_90 = 0.3987, RBP_95 = 0.2623, 
loss_type: rbp_95, lr: 0.001, frac: 1.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.8949, AP = 0.7662, RR = 0.9265, RBP_80 = 0.6155, RBP_90 = 0.4394, RBP_95 = 0.2765, 
loss_type: rbp_95, lr: 0.01, frac: 1.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.898, AP = 0.767, RR = 0.9386, RBP_80 = 0.617, RBP_90 = 0.4373, RBP_95 = 0.2752, 
loss_type: rbp_95, lr: 0.1, frac: 1.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.9027, AP = 0.7737, RR = 0.9476, RBP_80 = 0.6221, RBP_90 = 0.4397, RBP_95 = 0.276, 
loss_type: rbp_95, lr: 1.0, frac: 1.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.865, AP = 0.7282, RR = 0.8551, RBP_80 = 0.5864, RBP_90 = 0.4287, RBP_95 = 0.2732, 
loss_type: rbp_95, lr: 3.0, frac: 1.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.8271, AP = 0.6859, RR = 0.743, RBP_80 = 0.551, RBP_90 = 0.4162, RBP_95 = 0.2693, 
loss_type: rbp_95, lr: 10.0, frac: 1.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.819, AP = 0.6477, RR = 0.81, RBP_80 = 0.5216, RBP_90 = 0.3987, RBP_95 = 0.2623, 
loss_type: ndcg_5, lr: 0.001, frac: 2.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.6689, AP = 0.427, RR = 0.5608, RBP_80 = 0.3296, RBP_90 = 0.2913, RBP_95 = 0.2168, 
loss_type: ndcg_5, lr: 0.01, frac: 2.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.6851, AP = 0.4439, RR = 0.607, RBP_80 = 0.3456, RBP_90 = 0.298, RBP_95 = 0.219, 
loss_type: ndcg_5, lr: 0.1, frac: 2.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.848, AP = 0.6691, RR = 0.9001, RBP_80 = 0.5472, RBP_90 = 0.3921, RBP_95 = 0.2543, 
loss_type: ndcg_5, lr: 1.0, frac: 2.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.8579, AP = 0.6852, RR = 0.9155, RBP_80 = 0.5602, RBP_90 = 0.3999, RBP_95 = 0.2579, 
loss_type: ndcg_5, lr: 3.0, frac: 2.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.8582, AP = 0.6857, RR = 0.9156, RBP_80 = 0.5606, RBP_90 = 0.4001, RBP_95 = 0.258, 
loss_type: ndcg_5, lr: 10.0, frac: 2.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.8582, AP = 0.6857, RR = 0.9161, RBP_80 = 0.5606, RBP_90 = 0.4001, RBP_95 = 0.258, 
loss_type: dcg, lr: 0.001, frac: 2.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.669, AP = 0.4271, RR = 0.5607, RBP_80 = 0.3296, RBP_90 = 0.2914, RBP_95 = 0.2168, 
loss_type: dcg, lr: 0.01, frac: 2.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.6851, AP = 0.4439, RR = 0.607, RBP_80 = 0.3456, RBP_90 = 0.298, RBP_95 = 0.219, 
loss_type: dcg, lr: 0.1, frac: 2.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.848, AP = 0.6691, RR = 0.9001, RBP_80 = 0.5472, RBP_90 = 0.3921, RBP_95 = 0.2543, 
loss_type: dcg, lr: 1.0, frac: 2.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.8581, AP = 0.6857, RR = 0.9155, RBP_80 = 0.5604, RBP_90 = 0.4003, RBP_95 = 0.2582, 
loss_type: dcg, lr: 3.0, frac: 2.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.8587, AP = 0.6864, RR = 0.9172, RBP_80 = 0.5606, RBP_90 = 0.4005, RBP_95 = 0.2583, 
loss_type: dcg, lr: 10.0, frac: 2.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.8587, AP = 0.6866, RR = 0.9168, RBP_80 = 0.5606, RBP_90 = 0.4007, RBP_95 = 0.2585, 
loss_type: ap, lr: 0.001, frac: 2.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.6702, AP = 0.4284, RR = 0.564, RBP_80 = 0.331, RBP_90 = 0.2921, RBP_95 = 0.2171, 
loss_type: ap, lr: 0.01, frac: 2.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.7368, AP = 0.5017, RR = 0.7412, RBP_80 = 0.4059, RBP_90 = 0.3247, RBP_95 = 0.229, 
loss_type: ap, lr: 0.1, frac: 2.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.857, AP = 0.6833, RR = 0.9145, RBP_80 = 0.5596, RBP_90 = 0.3988, RBP_95 = 0.2572, 
loss_type: ap, lr: 1.0, frac: 2.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.86, AP = 0.6883, RR = 0.9185, RBP_80 = 0.5626, RBP_90 = 0.401, RBP_95 = 0.2583, 
loss_type: ap, lr: 3.0, frac: 2.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.8595, AP = 0.6881, RR = 0.9165, RBP_80 = 0.5623, RBP_90 = 0.4012, RBP_95 = 0.2585, 
