loss_type,lr,threshold,reg,fold,frac,emb_size,NDCG@5,NDCG,RR,AP,RBP_80,RBP_90,RBP_95
rbp_80,0.1,4,0,0,1.0,32,0.7773,0.9027,0.9475,0.7737,0.6221,0.4397,0.276
rbp_90,0.1,4,0,0,1.0,32,0.7773,0.9027,0.9476,0.7737,0.6221,0.4397,0.276
rbp_95,0.1,4,0,0,1.0,32,0.7773,0.9027,0.9476,0.7737,0.6221,0.4397,0.276
rbp_80,1.0,4,0,0,1.0,32,0.6989,0.865,0.8551,0.7282,0.5864,0.4287,0.2732
rbp_90,1.0,4,0,0,1.0,32,0.6989,0.865,0.8551,0.7282,0.5864,0.4287,0.2732
rbp_95,1.0,4,0,0,1.0,32,0.6989,0.865,0.8551,0.7282,0.5864,0.4287,0.2732
rbp_80,3.0,4,0,0,1.0,32,0.6303,0.8271,0.743,0.6859,0.551,0.4162,0.2693
rbp_80,10.0,4,0,0,1.0,32,0.5924,0.8190000000000001,0.81,0.6477,0.5216,0.3987,0.2623
rbp_90,3.0,4,0,0,1.0,32,0.6303,0.8271,0.743,0.6859,0.551,0.4162,0.2693
rbp_90,10.0,4,0,0,1.0,32,0.5924,0.8190000000000001,0.81,0.6477,0.5216,0.3987,0.2623
rbp_95,3.0,4,0,0,1.0,32,0.6303,0.8271,0.743,0.6859,0.551,0.4162,0.2693
rbp_95,10.0,4,0,0,1.0,32,0.5924,0.8190000000000001,0.81,0.6477,0.5216,0.3987,0.2623
rr,0.001,4,0,0,1.0,32,0.5018,0.7726,0.7018,0.5895,0.4701,0.3775,0.255
rr,0.01,4,0,0,1.0,32,0.5023,0.7729,0.703,0.5896,0.4703,0.3776,0.255
rr,0.1,4,0,0,1.0,32,0.537,0.7936,0.7858,0.6042,0.4837,0.3799,0.2551
rr,3.0,4,0,0,1.0,32,0.5635,0.8063,0.8197,0.6169,0.4965,0.3838,0.2562
rr,10.0,4,0,0,1.0,32,0.5674,0.8078,0.8220000000000001,0.6191,0.4981,0.3843,0.2562
dcg,0.001,4,0,0,2.0,32,0.3375,0.669,0.5607,0.4271,0.3296,0.2914,0.2168
ndcg_5,0.001,4,0,0,2.0,32,0.3377,0.6689,0.5608,0.42700000000000005,0.3296,0.2913,0.2168
dcg,0.01,4,0,0,2.0,32,0.3647,0.6851,0.607,0.4439,0.3456,0.298,0.21899999999999997
ndcg_5,0.01,4,0,0,2.0,32,0.3647,0.6851,0.607,0.4439,0.3456,0.298,0.21899999999999997
dcg,0.1,4,0,0,2.0,32,0.6897,0.848,0.9001,0.6691,0.5472,0.3921,0.2543
ndcg_5,0.1,4,0,0,2.0,32,0.6897,0.848,0.9001,0.6691,0.5472,0.3921,0.2543
ndcg_5,1.0,4,0,0,2.0,32,0.7072,0.8579,0.9155,0.6852,0.5602,0.3999,0.2579
dcg,3.0,4,0,0,2.0,32,0.7066,0.8587,0.9172,0.6864,0.5606,0.4005,0.2583
ndcg_5,3.0,4,0,0,2.0,32,0.7076,0.8582,0.9156,0.6857,0.5606,0.4001,0.258
dcg,10.0,4,0,0,2.0,32,0.7065,0.8587,0.9168,0.6866,0.5606,0.4007,0.2585
