loss_type: ndcg_5, lr: 0.001, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.773, AP = 0.59, RR = 0.7024, RBP_80 = 0.4704, RBP_90 = 0.3776, RBP_95 = 0.255, 
loss_type: ndcg_5, lr: 0.01, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.784, AP = 0.6021, RR = 0.7325, RBP_80 = 0.4801, RBP_90 = 0.3811, RBP_95 = 0.2561, 
loss_type: ndcg_5, lr: 0.1, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.897, AP = 0.7657, RR = 0.9368, RBP_80 = 0.6147, RBP_90 = 0.4379, RBP_95 = 0.2757, 
loss_type: ndcg_5, lr: 1.0, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.9007, AP = 0.7722, RR = 0.9424, RBP_80 = 0.6204, RBP_90 = 0.4411, RBP_95 = 0.2771, 
loss_type: ndcg_5, lr: 3.0, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.9009, AP = 0.772, RR = 0.9434, RBP_80 = 0.6202, RBP_90 = 0.4408, RBP_95 = 0.2769, 
loss_type: ndcg_5, lr: 10.0, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.9012, AP = 0.7732, RR = 0.9426, RBP_80 = 0.6213, RBP_90 = 0.4416, RBP_95 = 0.2773, 
loss_type: dcg, lr: 0.001, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.773, AP = 0.5901, RR = 0.7024, RBP_80 = 0.4704, RBP_90 = 0.3776, RBP_95 = 0.255, 
loss_type: dcg, lr: 0.01, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.784, AP = 0.6021, RR = 0.7325, RBP_80 = 0.4801, RBP_90 = 0.3811, RBP_95 = 0.2561, 
loss_type: dcg, lr: 0.1, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.897, AP = 0.7657, RR = 0.9368, RBP_80 = 0.6147, RBP_90 = 0.4379, RBP_95 = 0.2757, 
loss_type: dcg, lr: 1.0, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.9007, AP = 0.7722, RR = 0.9424, RBP_80 = 0.6204, RBP_90 = 0.4411, RBP_95 = 0.2771, 
loss_type: dcg, lr: 3.0, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.9012, AP = 0.7731, RR = 0.9428, RBP_80 = 0.621, RBP_90 = 0.4416, RBP_95 = 0.2773, 
loss_type: dcg, lr: 10.0, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.9014, AP = 0.7738, RR = 0.9425, RBP_80 = 0.6216, RBP_90 = 0.4418, RBP_95 = 0.2774, 
loss_type: ap, lr: 0.001, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.7725, AP = 0.5894, RR = 0.7011, RBP_80 = 0.47, RBP_90 = 0.3775, RBP_95 = 0.2549, 
loss_type: ap, lr: 0.01, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.7803, AP = 0.598, RR = 0.7242, RBP_80 = 0.4776, RBP_90 = 0.3806, RBP_95 = 0.2561, 
loss_type: ap, lr: 0.1, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.8928, AP = 0.7615, RR = 0.9252, RBP_80 = 0.6122, RBP_90 = 0.4378, RBP_95 = 0.2759, 
loss_type: ap, lr: 1.0, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.9005, AP = 0.7713, RR = 0.9434, RBP_80 = 0.62, RBP_90 = 0.4407, RBP_95 = 0.2769, 
loss_type: ap, lr: 3.0, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.9006, AP = 0.7719, RR = 0.9425, RBP_80 = 0.6203, RBP_90 = 0.4411, RBP_95 = 0.2771, 
loss_type: ap, lr: 10.0, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.9007, AP = 0.7722, RR = 0.943, RBP_80 = 0.6206, RBP_90 = 0.4413, RBP_95 = 0.2772, 
loss_type: rr, lr: 0.001, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.772, AP = 0.5888, RR = 0.6999, RBP_80 = 0.4694, RBP_90 = 0.3772, RBP_95 = 0.2549, 
loss_type: rr, lr: 0.01, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.7726, AP = 0.5893, RR = 0.7021, RBP_80 = 0.4698, RBP_90 = 0.3773, RBP_95 = 0.2549, 
loss_type: rr, lr: 0.1, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.7926, AP = 0.6033, RR = 0.7822, RBP_80 = 0.4832, RBP_90 = 0.3798, RBP_95 = 0.2551, 
loss_type: rr, lr: 1.0, frac: 1.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.8048, AP = 0.6139, RR = 0.8218, RBP_80 = 0.4929, RBP_90 = 0.3822, RBP_95 = 0.2556, 
